Mapping parameters for Squalus mitsukurii (Shortspine spurdog)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 41 |  47 |  51 |  57 |  61 |  71 |  77 |  81 |  87,
Bounding Box (NSWE): ,45,-55,-97,-164

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,29,48,533,600
Temperature (°C),1,7.02,13.04,26.21,30.41
Salinity (psu),1,25.72,33.63,35.59,37.24
Primary Production (mgC·m-3·day-1) ,1,0.5,2.18,37.2,119.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,23.91,133.54,264.81,311.01
Distance to Land (km),0,0,18,278,1108
 

Map data (HSPEC) for predicted occurrences (n = 9078): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Squalus,mitsukurii,28.75,-179.75,7217:489:4,0.09
Squalus,mitsukurii,28.75,-178.75,7217:488:4,0.09
Squalus,mitsukurii,28.75,-178.25,7217:488:3,0.10
Squalus,mitsukurii,28.25,-178.25,7217:488:1,0.04
Squalus,mitsukurii,28.25,-177.75,7217:487:2,0.05
Squalus,mitsukurii,28.25,-177.25,7217:487:1,0.06
Squalus,mitsukurii,28.75,-176.75,7217:486:4,0.10
Squalus,mitsukurii,28.25,-175.75,7217:485:2,0.03
Squalus,mitsukurii,27.75,-177.75,7217:477:4,0.01
Squalus,mitsukurii,27.25,-176.25,7217:476:1,0.01
Squalus,mitsukurii,27.75,-175.75,7217:475:4,0.04
Squalus,mitsukurii,26.75,-176.25,7217:466:3,0.01
Squalus,mitsukurii,26.25,-174.75,7217:364:2,0.05
Squalus,mitsukurii,26.25,-174.25,7217:364:1,0.08
Squalus,mitsukurii,26.25,-173.75,7217:363:2,0.07
Squalus,mitsukurii,26.25,-173.25,7217:363:1,0.06
Squalus,mitsukurii,25.75,-174.25,7217:354:3,0.07
Squalus,mitsukurii,25.75,-173.75,7217:353:4,0.07
Squalus,mitsukurii,25.75,-173.25,7217:353:3,0.06
Squalus,mitsukurii,25.75,-172.25,7217:352:3,0.08
Squalus,mitsukurii,25.25,-172.25,7217:352:1,0.06
Squalus,mitsukurii,25.75,-171.75,7217:351:4,0.12
Squalus,mitsukurii,25.75,-171.25,7217:351:3,0.18
Squalus,mitsukurii,25.25,-171.75,7217:351:2,0.08
Squalus,mitsukurii,25.25,-171.25,7217:351:1,0.14
Squalus,mitsukurii,25.75,-170.25,7217:350:3,0.11
Squalus,mitsukurii,25.25,-170.25,7217:350:1,0.09
Squalus,mitsukurii,25.75,-169.75,7216:459:4,0.07
Squalus,mitsukurii,25.75,-169.25,7216:459:3,0.06
Squalus,mitsukurii,25.25,-169.75,7216:459:2,0.05
Squalus,mitsukurii,25.25,-169.25,7216:459:1,0.05
Squalus,mitsukurii,25.25,-168.25,7216:458:1,0.16
Squalus,mitsukurii,25.25,-167.75,7216:457:2,0.13
Squalus,mitsukurii,24.75,-168.25,7216:248:3,0.11
Squalus,mitsukurii,24.75,-167.75,7216:247:4,0.09
Squalus,mitsukurii,24.75,-167.25,7216:247:3,0.05
Squalus,mitsukurii,24.25,-167.75,7216:247:2,0.03
Squalus,mitsukurii,24.25,-167.25,7216:247:1,0.04
Squalus,mitsukurii,24.75,-166.75,7216:246:4,0.04
