Mapping parameters for Stegastes fuscus (Brazilian damsel)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 31 |  41,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,1,4,15
Temperature (°C),1,5.83,23.6,28.25,32.45
Salinity (psu),1,30.87,34.83,36.91,37.79
Primary Production (mgC·m-3·day-1) ,1,-0.79,0.21,13.73,32.25
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,154.1,168.68,237.45,298.02
Distance to Land (km),0,1,7,109,472
 

Map data (HSPEC) for predicted occurrences (n = 1174): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Stegastes,fuscus,43.25,-70.25,7407:130:1,0.04
Stegastes,fuscus,42.75,-70.75,7407:120:4,0.03
Stegastes,fuscus,42.25,-70.75,7407:120:2,0.04
Stegastes,fuscus,42.25,-70.25,7407:120:1,0.06
Stegastes,fuscus,41.75,-71.25,7407:111:3,0.04
Stegastes,fuscus,41.25,-71.75,7407:111:2,0.01
Stegastes,fuscus,41.25,-71.25,7407:111:1,0.06
Stegastes,fuscus,41.75,-70.75,7407:110:4,0.04
Stegastes,fuscus,41.75,-70.25,7407:110:3,0.06
Stegastes,fuscus,41.25,-70.75,7407:110:2,0.07
Stegastes,fuscus,41.25,-70.25,7407:110:1,0.07
Stegastes,fuscus,40.75,-73.25,7407:103:3,0.07
Stegastes,fuscus,40.25,-73.75,7407:103:2,0.08
Stegastes,fuscus,40.75,-72.75,7407:102:4,0.10
Stegastes,fuscus,40.75,-72.25,7407:102:3,0.11
Stegastes,fuscus,44.25,-68.75,7406:248:2,0.01
Stegastes,fuscus,44.25,-68.25,7406:248:1,0.02
Stegastes,fuscus,44.25,-67.75,7406:247:2,0.03
Stegastes,fuscus,43.75,-69.25,7406:239:3,0.02
Stegastes,fuscus,43.75,-68.75,7406:238:4,0.04
Stegastes,fuscus,42.25,-69.75,7406:229:2,0.05
Stegastes,fuscus,41.75,-69.75,7406:219:4,0.08
Stegastes,fuscus,41.25,-69.75,7406:219:2,0.09
Stegastes,fuscus,41.25,-66.75,7406:216:2,0.01
Stegastes,fuscus,42.75,-62.75,7406:122:4,0.05
Stegastes,fuscus,37.25,-75.25,7307:475:1,0.11
Stegastes,fuscus,36.25,-76.25,7307:466:1,0.01
Stegastes,fuscus,36.75,-75.75,7307:465:4,0.05
Stegastes,fuscus,36.75,-75.25,7307:465:3,0.14
Stegastes,fuscus,35.75,-76.75,7307:456:4,0.09
Stegastes,fuscus,39.75,-74.25,7307:394:3,0.13
Stegastes,fuscus,39.75,-73.75,7307:393:4,0.07
Stegastes,fuscus,38.75,-74.75,7307:384:4,0.19
Stegastes,fuscus,32.25,-79.75,7307:229:2,0.09
Stegastes,fuscus,29.25,-95.25,7209:495:1,0.06
Stegastes,fuscus,25.75,-96.75,7209:456:4,0.18
Stegastes,fuscus,29.25,-94.25,7209:394:1,0.08
Stegastes,fuscus,29.25,-93.75,7209:393:2,0.16
Stegastes,fuscus,29.25,-93.25,7209:393:1,0.12
Stegastes,fuscus,29.25,-92.75,7209:392:2,0.08
Stegastes,fuscus,28.75,-93.75,7209:383:4,0.07
Stegastes,fuscus,28.75,-93.25,7209:383:3,0.07
Stegastes,fuscus,28.25,-91.75,7209:381:2,0.09
Stegastes,fuscus,28.75,-90.75,7209:380:4,0.05
Stegastes,fuscus,29.75,-87.75,7208:497:4,0.11
Stegastes,fuscus,28.75,-83.75,7208:383:4,0.09
Stegastes,fuscus,26.25,-82.75,7208:362:2,0.18
Stegastes,fuscus,22.75,-88.75,7208:228:4,0.18
Stegastes,fuscus,27.25,-79.75,7207:479:2,0.18
Stegastes,fuscus,23.25,-78.75,7207:238:2,0.18
Stegastes,fuscus,18.75,-88.25,7108:488:3,0.16
Stegastes,fuscus,16.25,-84.25,7108:364:1,0.18
Stegastes,fuscus,11.25,-74.25,7107:114:1,0.13
Stegastes,fuscus,10.25,-64.75,7106:104:2,0.18
Stegastes,fuscus,10.25,-64.25,7106:104:1,0.08
Stegastes,fuscus,10.75,-61.75,7106:101:4,0.04
Stegastes,fuscus,10.75,-61.25,7106:101:3,0.02
Stegastes,fuscus,10.75,-60.75,7106:100:4,0.09
Stegastes,fuscus,9.75,-78.25,7007:498:3,0.18
Stegastes,fuscus,9.75,-75.75,7007:495:4,0.02
Stegastes,fuscus,8.75,-76.25,7007:486:3,0.19
