Mapping parameters for Stegastes rectifraenum (Cortez damselfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 77,
Bounding Box (NSWE): ,32,23,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,2,6,10
Temperature (°C),1,17.29,20.65,25.66,29.86
Salinity (psu),1,32.56,33.66,35.48,35.98
Primary Production (mgC·m-3·day-1) ,1,0.49,1.49,13.66,35.12
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,0.92,1.42,220.86,227.29
Distance to Land (km),0,0,6,87,98
 

Map data (HSPEC) for predicted occurrences (n = 117): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Stegastes,rectifraenum,30.75,-115.75,7311:205:4,0.07
Stegastes,rectifraenum,26.25,-174.25,7217:364:1,0.15
Stegastes,rectifraenum,26.25,-173.75,7217:363:2,0.13
Stegastes,rectifraenum,26.25,-173.25,7217:363:1,0.11
Stegastes,rectifraenum,25.75,-173.25,7217:353:3,0.11
Stegastes,rectifraenum,25.25,-170.25,7217:350:1,0.16
Stegastes,rectifraenum,25.75,-169.25,7216:459:3,0.11
Stegastes,rectifraenum,24.75,-167.75,7216:247:4,0.16
Stegastes,rectifraenum,24.25,-167.25,7216:247:1,0.08
Stegastes,rectifraenum,23.75,-166.25,7216:236:3,0.14
Stegastes,rectifraenum,23.25,-161.75,7216:131:2,0.09
Stegastes,rectifraenum,29.75,-115.25,7211:495:3,0.01
Stegastes,rectifraenum,28.25,-114.25,7211:384:1,0.17
Stegastes,rectifraenum,25.75,-171.75,7217:351:4,0.20
Stegastes,rectifraenum,25.25,-170.75,7217:350:2,0.35
Stegastes,rectifraenum,25.25,-167.75,7216:457:2,0.22
Stegastes,rectifraenum,23.75,-164.75,7216:134:4,0.20
Stegastes,rectifraenum,29.25,-118.25,7211:498:1,0.21
Stegastes,rectifraenum,28.75,-118.25,7211:488:3,0.28
Stegastes,rectifraenum,28.25,-115.75,7211:485:2,0.23
Stegastes,rectifraenum,28.25,-115.25,7211:485:1,0.20
Stegastes,rectifraenum,27.75,-115.25,7211:475:3,0.23
Stegastes,rectifraenum,29.25,-114.75,7211:394:2,0.34
