Mapping parameters for Stenotomus chrysops (Scup)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31,
Bounding Box (NSWE): ,46,25,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,15,18,33,50
Temperature (°C),1,8.25,10.25,25.04,29.24
Salinity (psu),1,19.98,29.5,36.17,36.67
Primary Production (mgC·m-3·day-1) ,1,0.73,5.49,21.7,56.51
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.02
Dissolved Bottom Oxygen (mmol·m-3),0,132.64,175.44,283.3,341.29
Distance to Land (km),0,1,7,167,474
 

Map data (HSPEC) for predicted occurrences (n = 389): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Stenotomus,chrysops,25.75,-77.75,7207:457:4,0.02
Stenotomus,chrysops,25.75,-78.25,7207:458:3,0.03
Stenotomus,chrysops,25.75,-78.75,7207:458:4,0.03
Stenotomus,chrysops,25.25,-79.25,7207:459:1,0.01
Stenotomus,chrysops,25.75,-79.25,7207:459:3,0.05
Stenotomus,chrysops,26.25,-77.25,7207:467:1,0.03
Stenotomus,chrysops,26.25,-77.75,7207:467:2,0.04
Stenotomus,chrysops,26.75,-77.25,7207:467:3,0.10
Stenotomus,chrysops,26.75,-77.75,7207:467:4,0.12
Stenotomus,chrysops,26.25,-78.75,7207:468:2,0.02
Stenotomus,chrysops,26.75,-78.25,7207:468:3,0.14
Stenotomus,chrysops,26.75,-78.75,7207:468:4,0.17
Stenotomus,chrysops,26.25,-79.25,7207:469:1,0.02
Stenotomus,chrysops,26.75,-79.75,7207:469:4,0.07
Stenotomus,chrysops,27.25,-77.75,7207:477:2,0.12
Stenotomus,chrysops,27.25,-79.25,7207:479:1,0.13
Stenotomus,chrysops,27.25,-79.75,7207:479:2,0.19
Stenotomus,chrysops,25.25,-81.25,7208:351:1,0.05
Stenotomus,chrysops,25.25,-81.75,7208:351:2,0.03
Stenotomus,chrysops,25.75,-81.25,7208:351:3,0.17
Stenotomus,chrysops,25.75,-81.75,7208:351:4,0.17
Stenotomus,chrysops,26.25,-82.25,7208:362:1,0.12
Stenotomus,chrysops,26.75,-82.25,7208:362:3,0.19
Stenotomus,chrysops,26.75,-82.75,7208:362:4,0.08
Stenotomus,chrysops,26.75,-83.75,7208:363:4,0.04
Stenotomus,chrysops,27.25,-83.25,7208:373:1,0.02
Stenotomus,chrysops,27.25,-83.75,7208:373:2,0.03
Stenotomus,chrysops,27.75,-83.75,7208:373:4,0.05
Stenotomus,chrysops,27.75,-84.25,7208:374:3,0.14
Stenotomus,chrysops,28.25,-83.75,7208:383:2,0.06
Stenotomus,chrysops,28.75,-83.75,7208:383:4,0.17
Stenotomus,chrysops,28.25,-84.25,7208:384:1,0.16
Stenotomus,chrysops,28.25,-84.75,7208:384:2,0.17
Stenotomus,chrysops,28.75,-84.25,7208:384:3,0.18
Stenotomus,chrysops,29.25,-86.25,7208:496:1,0.03
Stenotomus,chrysops,29.75,-89.25,7208:499:3,0.06
Stenotomus,chrysops,29.75,-89.75,7208:499:4,0.08
Stenotomus,chrysops,28.25,-90.25,7209:380:1,0.14
Stenotomus,chrysops,28.25,-90.75,7209:380:2,0.07
Stenotomus,chrysops,28.25,-91.25,7209:381:1,0.03
Stenotomus,chrysops,28.25,-91.75,7209:381:2,0.01
Stenotomus,chrysops,28.25,-92.25,7209:382:1,0.01
Stenotomus,chrysops,28.25,-92.75,7209:382:2,0.01
Stenotomus,chrysops,28.75,-92.25,7209:382:3,0.09
Stenotomus,chrysops,28.75,-92.75,7209:382:4,0.04
Stenotomus,chrysops,28.25,-93.25,7209:383:1,0.01
Stenotomus,chrysops,28.25,-93.75,7209:383:2,0.03
Stenotomus,chrysops,28.75,-93.25,7209:383:3,0.03
Stenotomus,chrysops,28.75,-93.75,7209:383:4,0.05
Stenotomus,chrysops,28.25,-94.25,7209:384:1,0.03
Stenotomus,chrysops,28.25,-94.75,7209:384:2,0.05
Stenotomus,chrysops,28.75,-94.25,7209:384:3,0.09
Stenotomus,chrysops,25.75,-97.25,7209:457:3,0.04
Stenotomus,chrysops,26.75,-96.75,7209:466:4,0.02
Stenotomus,chrysops,26.25,-97.25,7209:467:1,0.10
Stenotomus,chrysops,26.75,-97.25,7209:467:3,0.17
Stenotomus,chrysops,27.75,-95.75,7209:475:4,0.05
Stenotomus,chrysops,27.25,-96.75,7209:476:2,0.06
Stenotomus,chrysops,27.75,-96.25,7209:476:3,0.10
Stenotomus,chrysops,28.25,-95.25,7209:485:1,0.13
Stenotomus,chrysops,30.75,-79.75,7307:209:4,0.18
Stenotomus,chrysops,34.25,-75.75,7307:245:2,0.05
Stenotomus,chrysops,39.75,-72.75,7307:392:4,0.06
Stenotomus,chrysops,37.75,-76.25,7307:476:3,0.19
Stenotomus,chrysops,38.25,-76.75,7307:486:2,0.01
Stenotomus,chrysops,38.75,-76.25,7307:486:3,0.04
Stenotomus,chrysops,38.75,-76.75,7307:486:4,0.02
Stenotomus,chrysops,39.25,-76.25,7307:496:1,0.09
Stenotomus,chrysops,39.75,-76.25,7307:496:3,0.10
