Mapping parameters for Stephanolepis diaspros (Reticulated leatherjacket)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51,
Bounding Box (NSWE): ,30,-2,32,62

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,20,23,36,50
Temperature (°C),1,22.49,25.06,28.45,32.65
Salinity (psu),1,30,30.78,38.65,39.15
Primary Production (mgC·m-3·day-1) ,1,2.58,4.07,59.94,60.94
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,47.13,213.75,238.47
Distance to Land (km),0,1,7,26,35.5
 

Map data (HSPEC) for predicted occurrences (n = 421): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Stephanolepis,diaspros,27.25,35.75,1203:475:2,0.02
Stephanolepis,diaspros,25.75,36.25,1203:456:3,0.05
Stephanolepis,diaspros,28.25,34.25,1203:384:1,0.19
Stephanolepis,diaspros,27.75,33.75,1203:373:4,0.18
Stephanolepis,diaspros,24.25,38.25,1203:248:1,0.05
Stephanolepis,diaspros,24.75,37.25,1203:247:3,0.02
Stephanolepis,diaspros,24.25,35.75,1203:245:2,0.19
Stephanolepis,diaspros,23.75,38.75,1203:238:4,0.09
Stephanolepis,diaspros,21.25,37.25,1203:217:1,0.06
Stephanolepis,diaspros,21.75,36.75,1203:216:4,0.18
Stephanolepis,diaspros,20.25,37.75,1203:207:2,0.02
Stephanolepis,diaspros,20.25,37.25,1203:207:1,0.09
Stephanolepis,diaspros,13.75,48.75,1104:238:4,0.14
Stephanolepis,diaspros,19.25,38.25,1103:498:1,0.09
Stephanolepis,diaspros,19.75,37.75,1103:497:4,0.06
Stephanolepis,diaspros,19.75,37.25,1103:497:3,0.12
Stephanolepis,diaspros,19.25,37.75,1103:497:2,0.15
Stephanolepis,diaspros,28.75,50.25,1205:380:3,0.39
Stephanolepis,diaspros,26.75,52.25,1205:362:3,0.29
Stephanolepis,diaspros,28.75,49.75,1204:489:4,0.35
Stephanolepis,diaspros,28.25,35.25,1203:485:1,0.37
Stephanolepis,diaspros,27.75,35.25,1203:475:3,0.25
Stephanolepis,diaspros,26.75,36.25,1203:466:3,0.31
Stephanolepis,diaspros,25.25,37.25,1203:457:1,0.37
Stephanolepis,diaspros,25.25,36.75,1203:456:2,0.34
Stephanolepis,diaspros,27.75,34.75,1203:374:4,0.23
Stephanolepis,diaspros,27.25,34.25,1203:374:1,0.34
Stephanolepis,diaspros,26.75,34.25,1203:364:3,0.32
Stephanolepis,diaspros,26.25,34.25,1203:364:1,0.30
Stephanolepis,diaspros,26.75,33.75,1203:363:4,0.26
Stephanolepis,diaspros,25.75,34.75,1203:354:4,0.31
Stephanolepis,diaspros,25.75,34.25,1203:354:3,0.36
Stephanolepis,diaspros,24.25,35.25,1203:245:1,0.39
Stephanolepis,diaspros,23.25,35.75,1203:235:2,0.39
Stephanolepis,diaspros,22.75,36.25,1203:226:3,0.35
Stephanolepis,diaspros,22.75,35.75,1203:225:4,0.31
Stephanolepis,diaspros,20.25,39.25,1203:209:1,0.33
Stephanolepis,diaspros,20.75,37.25,1203:207:3,0.20
Stephanolepis,diaspros,14.75,41.75,1104:141:4,0.35
Stephanolepis,diaspros,19.75,39.75,1103:499:4,0.29
Stephanolepis,diaspros,19.25,37.25,1103:497:1,0.29
Stephanolepis,diaspros,18.75,38.75,1103:488:4,0.24
Stephanolepis,diaspros,18.75,38.25,1103:488:3,0.37
Stephanolepis,diaspros,18.25,38.75,1103:488:2,0.38
Stephanolepis,diaspros,18.75,37.75,1103:487:4,0.36
Stephanolepis,diaspros,17.75,39.25,1103:479:3,0.33
Stephanolepis,diaspros,17.75,38.75,1103:478:4,0.39
Stephanolepis,diaspros,25.75,56.75,1205:456:4,0.50
Stephanolepis,diaspros,28.75,50.75,1205:380:4,0.41
Stephanolepis,diaspros,27.25,52.25,1205:372:1,0.43
Stephanolepis,diaspros,26.75,52.75,1205:362:4,0.50
Stephanolepis,diaspros,25.25,54.75,1205:354:2,0.47
Stephanolepis,diaspros,24.75,54.25,1205:144:3,0.48
Stephanolepis,diaspros,27.75,35.75,1203:475:4,0.59
Stephanolepis,diaspros,25.25,35.25,1203:455:1,0.45
Stephanolepis,diaspros,29.75,34.75,1203:394:4,0.55
Stephanolepis,diaspros,29.25,34.75,1203:394:2,0.40
Stephanolepis,diaspros,28.75,34.75,1203:384:4,0.44
Stephanolepis,diaspros,28.25,34.75,1203:384:2,0.44
Stephanolepis,diaspros,27.75,34.25,1203:374:3,0.43
Stephanolepis,diaspros,27.25,33.75,1203:373:2,0.50
Stephanolepis,diaspros,25.25,34.75,1203:354:2,0.41
Stephanolepis,diaspros,24.75,35.25,1203:245:3,0.52
Stephanolepis,diaspros,22.75,39.25,1203:229:3,0.46
Stephanolepis,diaspros,20.25,39.75,1203:209:2,0.59
Stephanolepis,diaspros,18.25,38.25,1103:488:1,0.53
Stephanolepis,diaspros,17.25,39.25,1103:479:1,0.49
Stephanolepis,diaspros,26.75,56.25,1205:466:3,0.60
Stephanolepis,diaspros,26.25,55.75,1205:465:2,0.77
Stephanolepis,diaspros,29.25,50.25,1205:390:1,0.70
Stephanolepis,diaspros,28.25,51.25,1205:381:1,0.69
Stephanolepis,diaspros,28.25,50.75,1205:380:2,0.67
Stephanolepis,diaspros,28.25,50.25,1205:380:1,0.61
Stephanolepis,diaspros,26.75,54.25,1205:364:3,0.76
