Mapping parameters for Sterechinus neumayeri ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 48 |  58 |  88,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,59,226,500
Temperature (°C),1,-2,-1.74,-0.46,2.17
Salinity (psu),1,32.4,33.11,34.15,34.72
Primary Production (mgC·m-3·day-1) ,1,0.93,1.93,8.72,15.48
Sea Ice Concentration (0-1 fraction),1,-0.58,0.11,0.68,0.95
Dissolved Bottom Oxygen (mmol·m-3),0,144.86,213.27,343.33,371.4
Distance to Land (km),0,1,6,191,937
 

Map data (HSPEC) for predicted occurrences (n = 4079): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sterechinus,neumayeri,-51.75,1.25,3500:111:3,0.02
Sterechinus,neumayeri,-53.25,25.25,3502:235:1,0.08
Sterechinus,neumayeri,-52.25,40.75,3504:120:2,0.09
Sterechinus,neumayeri,-52.25,41.25,3504:121:1,0.12
Sterechinus,neumayeri,-52.25,41.75,3504:121:2,0.13
Sterechinus,neumayeri,-52.75,43.25,3504:123:3,0.14
Sterechinus,neumayeri,-52.75,43.75,3504:123:4,0.19
Sterechinus,neumayeri,-52.75,45.25,3504:225:3,0.19
Sterechinus,neumayeri,-53.25,47.75,3504:237:2,0.16
Sterechinus,neumayeri,-53.75,47.75,3504:237:4,0.10
