Mapping parameters for Sufflogobius bibarbatus (Pelagic goby)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 47,
Bounding Box (NSWE): ,-16,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,39,157,340
Temperature (°C),1,12.49,14.73,18.19,21.06
Salinity (psu),1,33.73,34.66,35.66,36.16
Primary Production (mgC·m-3·day-1) ,1,6.12,22.9,97.38,121.76
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,13.28,24.06,209.51,354.07
Distance to Land (km),0,0,7,176,349
 

Map data (HSPEC) for predicted occurrences (n = 196): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Sufflogobius,bibarbatus,-16.25,11.25,3101:361:1,0.06
Sufflogobius,bibarbatus,-18.75,11.25,3101:381:3,0.03
Sufflogobius,bibarbatus,-28.25,14.25,3201:384:1,0.01
Sufflogobius,bibarbatus,-29.75,14.25,3201:394:3,0.04
Sufflogobius,bibarbatus,-29.75,14.75,3201:394:4,0.15
Sufflogobius,bibarbatus,-28.25,15.75,3201:485:2,0.07
Sufflogobius,bibarbatus,-30.75,15.25,3301:205:3,0.02
Sufflogobius,bibarbatus,-32.75,16.75,3301:226:4,0.10
Sufflogobius,bibarbatus,-33.25,17.25,3301:237:1,0.19
Sufflogobius,bibarbatus,-33.75,18.75,3301:238:4,0.13
Sufflogobius,bibarbatus,-35.75,19.25,3301:459:3,0.16
Sufflogobius,bibarbatus,-36.25,19.75,3301:469:2,0.18
Sufflogobius,bibarbatus,-33.75,22.75,3302:132:4,0.05
Sufflogobius,bibarbatus,-33.75,23.25,3302:133:3,0.02
Sufflogobius,bibarbatus,-34.75,24.25,3302:144:3,0.16
Sufflogobius,bibarbatus,-33.75,26.75,3302:236:4,0.14
Sufflogobius,bibarbatus,-35.25,22.75,3302:352:2,0.11
Sufflogobius,bibarbatus,-35.75,22.25,3302:352:3,0.02
Sufflogobius,bibarbatus,-36.75,20.25,3302:360:3,0.09
Sufflogobius,bibarbatus,-36.75,20.75,3302:360:4,0.17
