Mapping parameters for Symphurus plagiusa (Blackcheek tonguefish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31 |  41,
Bounding Box (NSWE): ,45,15,-94,-65

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,1,30,183
Temperature (°C),1,11.12,16.49,27.41,31.61
Salinity (psu),1,18.94,29.04,36.21,39.77
Primary Production (mgC·m-3·day-1) ,1,-0.35,0.65,19.51,52.15
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,124.6,179.13,242.32,270.39
Distance to Land (km),0,0,7,162,392
 

Map data (HSPEC) for predicted occurrences (n = 811): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Symphurus,plagiusa,42.75,-70.75,7407:120:4,0.01
Symphurus,plagiusa,42.75,-70.25,7407:120:3,0.05
Symphurus,plagiusa,42.25,-70.75,7407:120:2,0.05
Symphurus,plagiusa,42.25,-70.25,7407:120:1,0.08
Symphurus,plagiusa,41.25,-72.75,7407:112:2,0.14
Symphurus,plagiusa,41.75,-70.25,7407:110:3,0.13
Symphurus,plagiusa,41.25,-70.25,7407:110:1,0.14
Symphurus,plagiusa,42.75,-69.75,7406:229:4,0.06
Symphurus,plagiusa,42.75,-69.25,7406:229:3,0.05
Symphurus,plagiusa,42.25,-69.75,7406:229:2,0.12
Symphurus,plagiusa,42.25,-69.25,7406:229:1,0.03
Symphurus,plagiusa,42.75,-68.75,7406:228:4,0.03
Symphurus,plagiusa,42.25,-68.75,7406:228:2,0.04
Symphurus,plagiusa,42.25,-68.25,7406:228:1,0.01
Symphurus,plagiusa,42.25,-67.75,7406:227:2,0.02
Symphurus,plagiusa,41.75,-69.75,7406:219:4,0.09
Symphurus,plagiusa,41.75,-69.25,7406:219:3,0.13
Symphurus,plagiusa,41.25,-69.75,7406:219:2,0.05
Symphurus,plagiusa,41.25,-69.25,7406:219:1,0.08
Symphurus,plagiusa,41.75,-68.75,7406:218:4,0.07
Symphurus,plagiusa,41.75,-68.25,7406:218:3,0.08
Symphurus,plagiusa,41.25,-68.75,7406:218:2,0.09
Symphurus,plagiusa,41.25,-68.25,7406:218:1,0.08
Symphurus,plagiusa,41.75,-67.75,7406:217:4,0.03
Symphurus,plagiusa,41.25,-67.75,7406:217:2,0.07
Symphurus,plagiusa,41.25,-67.25,7406:217:1,0.06
Symphurus,plagiusa,41.25,-66.75,7406:216:2,0.11
Symphurus,plagiusa,41.75,-65.75,7406:215:4,0.10
Symphurus,plagiusa,41.25,-65.75,7406:215:2,0.10
Symphurus,plagiusa,40.75,-69.75,7406:209:4,0.18
Symphurus,plagiusa,40.75,-69.25,7406:209:3,0.18
Symphurus,plagiusa,40.25,-67.25,7406:207:1,0.19
Symphurus,plagiusa,40.75,-66.25,7406:206:3,0.02
Symphurus,plagiusa,30.25,-90.25,7309:100:1,0.01
Symphurus,plagiusa,30.25,-88.75,7308:208:2,0.09
Symphurus,plagiusa,39.75,-76.25,7307:496:3,0.06
Symphurus,plagiusa,39.25,-76.75,7307:496:2,0.03
Symphurus,plagiusa,39.25,-76.25,7307:496:1,0.04
Symphurus,plagiusa,39.75,-75.75,7307:495:4,0.10
Symphurus,plagiusa,39.75,-75.25,7307:495:3,0.16
Symphurus,plagiusa,39.25,-75.75,7307:495:2,0.05
Symphurus,plagiusa,38.75,-77.25,7307:487:3,0.05
Symphurus,plagiusa,38.25,-77.25,7307:487:1,0.06
Symphurus,plagiusa,38.75,-76.75,7307:486:4,0.02
Symphurus,plagiusa,38.75,-76.25,7307:486:3,0.03
Symphurus,plagiusa,38.25,-76.75,7307:486:2,0.01
Symphurus,plagiusa,38.75,-75.75,7307:485:4,0.17
Symphurus,plagiusa,37.75,-76.75,7307:476:4,0.14
Symphurus,plagiusa,37.75,-73.75,7307:373:4,0.01
Symphurus,plagiusa,31.75,-65.25,7306:215:3,0.17
Symphurus,plagiusa,29.75,-90.25,7209:390:3,0.18
Symphurus,plagiusa,27.75,-91.25,7209:371:3,0.14
Symphurus,plagiusa,29.75,-89.75,7208:499:4,0.07
Symphurus,plagiusa,29.75,-89.25,7208:499:3,0.06
Symphurus,plagiusa,26.75,-84.75,7208:364:4,0.10
Symphurus,plagiusa,24.25,-79.25,7207:249:1,0.19
Symphurus,plagiusa,23.75,-76.75,7207:236:4,0.11
Symphurus,plagiusa,22.25,-71.75,7207:121:2,0.16
Symphurus,plagiusa,17.25,-80.75,7108:370:2,0.19
Symphurus,plagiusa,15.75,-80.25,7108:350:3,0.02
Symphurus,plagiusa,16.25,-79.75,7107:469:2,0.05
Symphurus,plagiusa,19.25,-73.25,7107:393:1,0.08
Symphurus,plagiusa,19.75,-68.75,7106:498:4,0.10
Symphurus,plagiusa,41.25,-72.25,7407:112:1,0.26
Symphurus,plagiusa,41.75,-71.25,7407:111:3,0.28
Symphurus,plagiusa,41.25,-71.75,7407:111:2,0.29
Symphurus,plagiusa,41.25,-71.25,7407:111:1,0.31
Symphurus,plagiusa,41.75,-70.75,7407:110:4,0.20
Symphurus,plagiusa,41.25,-70.75,7407:110:2,0.25
Symphurus,plagiusa,40.75,-70.75,7407:100:4,0.35
Symphurus,plagiusa,40.75,-70.25,7407:100:3,0.26
Symphurus,plagiusa,41.25,-66.25,7406:216:1,0.21
Symphurus,plagiusa,40.75,-68.75,7406:208:4,0.21
Symphurus,plagiusa,40.75,-68.25,7406:208:3,0.24
Symphurus,plagiusa,40.75,-67.75,7406:207:4,0.29
Symphurus,plagiusa,40.75,-67.25,7406:207:3,0.32
Symphurus,plagiusa,40.25,-67.75,7406:207:2,0.28
Symphurus,plagiusa,30.75,-88.25,7308:208:3,0.34
Symphurus,plagiusa,37.75,-76.25,7307:476:3,0.23
Symphurus,plagiusa,39.25,-74.75,7307:394:2,0.26
