Mapping parameters for Tarletonbeania crenularis (Blue lanternfish)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 61 |  67 |  77,
Bounding Box (NSWE): ,66,28,,

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,87,314,710
Temperature (°C),1,5.57,9.38,16.22,24.42
Salinity (psu),1,25.55,31.3,33.37,35.14
Primary Production (mgC·m-3·day-1) ,1,0.18,3.55,41.74,93.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,2.67,32.16,153.6,295.24
Distance to Land (km),0,2,21,530,1720
 

Map data (HSPEC) for predicted occurrences (n = 9471): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Tarletonbeania,crenularis,60.75,-148.75,7614:208:4,0.01
Tarletonbeania,crenularis,60.25,-148.75,7614:208:2,0.01
Tarletonbeania,crenularis,51.25,-178.75,7517:218:2,0.01
Tarletonbeania,crenularis,51.25,-178.25,7517:218:1,0.04
Tarletonbeania,crenularis,51.25,-177.75,7517:217:2,0.06
Tarletonbeania,crenularis,51.25,-177.25,7517:217:1,0.08
Tarletonbeania,crenularis,51.75,-176.75,7517:216:4,0.01
Tarletonbeania,crenularis,51.25,-176.75,7517:216:2,0.10
Tarletonbeania,crenularis,51.25,-176.25,7517:216:1,0.11
Tarletonbeania,crenularis,51.75,-175.75,7517:215:4,0.01
Tarletonbeania,crenularis,51.75,-175.25,7517:215:3,0.02
Tarletonbeania,crenularis,51.25,-175.75,7517:215:2,0.13
Tarletonbeania,crenularis,51.25,-175.25,7517:215:1,0.14
Tarletonbeania,crenularis,50.75,-179.75,7517:209:4,0.08
