Mapping parameters for Teredo navalis (naval shipworm)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 21 |  27 |  31 |  61 |  67 |  71,
Bounding Box (NSWE): ,18,66,-24,141

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,0,20,150
Temperature (°C),1,6.09,10.08,20.27,24.73
Salinity (psu),1,6.5,9.93,34.35,35.22
Primary Production (mgC·m-3·day-1) ,1,0.68,3.29,36.71,46.49
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,103.9,215.68,336.15,385.46
Distance to Land (km),0,0,5,25,98
 

Map data (HSPEC) for predicted occurrences (n = 2791): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Teredo,navalis,22.75,115.25,1211:225:3,0.04
Teredo,navalis,22.75,115.75,1211:225:4,0.04
Teredo,navalis,22.75,116.25,1211:226:3,0.05
Teredo,navalis,22.75,116.75,1211:226:4,0.02
Teredo,navalis,23.75,116.75,1211:236:4,0.04
Teredo,navalis,23.25,117.75,1211:237:2,0.18
Teredo,navalis,23.25,118.25,1211:238:1,0.19
Teredo,navalis,23.25,118.75,1211:238:2,0.07
Teredo,navalis,23.75,119.25,1211:239:3,0.07
Teredo,navalis,24.25,117.75,1211:247:2,0.03
Teredo,navalis,24.25,119.25,1211:249:1,0.16
Teredo,navalis,24.25,119.75,1211:249:2,0.06
Teredo,navalis,24.75,120.25,1212:140:3,0.17
Teredo,navalis,24.75,120.75,1212:140:4,0.10
Teredo,navalis,25.25,120.75,1212:350:2,0.19
Teredo,navalis,25.25,121.25,1212:351:1,0.13
Teredo,navalis,25.25,121.75,1212:351:2,0.07
Teredo,navalis,25.75,121.25,1212:351:3,0.19
Teredo,navalis,25.75,121.75,1212:351:4,0.10
Teredo,navalis,26.25,121.75,1212:361:2,0.16
Teredo,navalis,26.25,122.25,1212:362:1,0.01
Teredo,navalis,26.75,122.25,1212:362:3,0.16
Teredo,navalis,26.75,122.75,1212:362:4,0.08
Teredo,navalis,26.75,123.25,1212:363:3,0.02
Teredo,navalis,27.25,122.75,1212:372:2,0.16
Teredo,navalis,27.25,123.25,1212:373:1,0.13
Teredo,navalis,27.25,123.75,1212:373:2,0.12
Teredo,navalis,27.25,124.25,1212:374:1,0.12
Teredo,navalis,27.25,124.75,1212:374:2,0.09
Teredo,navalis,27.75,124.75,1212:374:4,0.19
Teredo,navalis,27.75,125.25,1212:475:3,0.18
Teredo,navalis,27.75,128.75,1212:478:4,0.02
Teredo,navalis,28.25,125.25,1212:485:1,0.18
Teredo,navalis,28.25,125.75,1212:485:2,0.11
Teredo,navalis,28.75,126.25,1212:486:3,0.14
Teredo,navalis,28.75,126.75,1212:486:4,0.01
Teredo,navalis,28.25,128.75,1212:488:2,0.02
Teredo,navalis,28.25,129.25,1212:489:1,0.05
Teredo,navalis,28.25,129.75,1212:489:2,0.02
Teredo,navalis,28.75,129.25,1212:489:3,0.01
Teredo,navalis,28.75,129.75,1212:489:4,0.01
Teredo,navalis,29.25,126.75,1212:496:2,0.09
Teredo,navalis,29.25,127.25,1212:497:1,0.01
Teredo,navalis,29.75,127.25,1212:497:3,0.18
Teredo,navalis,29.75,127.75,1212:497:4,0.01
Teredo,navalis,28.25,130.25,1213:380:1,0.01
Teredo,navalis,27.25,140.75,1214:370:2,0.02
Teredo,navalis,27.25,142.25,1214:372:1,0.05
Teredo,navalis,27.75,142.25,1214:372:3,0.08
Teredo,navalis,30.25,127.75,1312:207:2,0.06
Teredo,navalis,30.75,127.75,1312:207:4,0.18
Teredo,navalis,30.75,129.25,1312:209:3,0.17
Teredo,navalis,30.75,129.75,1312:209:4,0.16
Teredo,navalis,31.25,127.75,1312:217:2,0.15
Teredo,navalis,31.75,127.75,1312:217:4,0.16
Teredo,navalis,31.25,128.25,1312:218:1,0.07
Teredo,navalis,32.25,127.75,1312:227:2,0.13
Teredo,navalis,32.75,127.75,1312:227:4,0.09
Teredo,navalis,39.75,128.75,1312:498:4,0.01
Teredo,navalis,30.25,130.25,1313:100:1,0.05
Teredo,navalis,30.25,130.75,1313:100:2,0.11
Teredo,navalis,30.25,131.25,1313:101:1,0.05
Teredo,navalis,30.75,131.25,1313:101:3,0.16
Teredo,navalis,31.25,131.75,1313:111:2,0.03
Teredo,navalis,32.25,132.25,1313:122:1,0.06
Teredo,navalis,31.75,139.75,1313:219:4,0.04
Teredo,navalis,34.25,135.25,1313:245:1,0.19
Teredo,navalis,35.75,130.75,1313:350:4,0.08
Teredo,navalis,35.75,131.75,1313:351:4,0.03
Teredo,navalis,36.25,135.25,1313:465:1,0.19
Teredo,navalis,39.25,138.75,1313:498:2,0.01
Teredo,navalis,35.25,141.25,1314:351:1,0.10
Teredo,navalis,56.25,0.25,1500:360:1,0.18
Teredo,navalis,56.25,0.75,1500:360:2,0.16
Teredo,navalis,56.75,0.25,1500:360:3,0.15
Teredo,navalis,56.75,0.75,1500:360:4,0.11
Teredo,navalis,56.25,1.25,1500:361:1,0.14
Teredo,navalis,56.25,1.75,1500:361:2,0.14
Teredo,navalis,56.75,1.25,1500:361:3,0.11
Teredo,navalis,56.75,1.75,1500:361:4,0.11
Teredo,navalis,56.25,2.25,1500:362:1,0.16
Teredo,navalis,56.75,2.25,1500:362:3,0.14
Teredo,navalis,56.75,2.75,1500:362:4,0.17
Teredo,navalis,57.25,0.25,1500:370:1,0.11
Teredo,navalis,57.25,0.75,1500:370:2,0.09
Teredo,navalis,57.75,0.25,1500:370:3,0.05
Teredo,navalis,57.75,0.75,1500:370:4,0.06
Teredo,navalis,57.25,1.25,1500:371:1,0.10
Teredo,navalis,57.25,1.75,1500:371:2,0.10
Teredo,navalis,57.75,1.25,1500:371:3,0.07
Teredo,navalis,57.75,1.75,1500:371:4,0.10
Teredo,navalis,57.25,2.25,1500:372:1,0.13
Teredo,navalis,57.25,2.75,1500:372:2,0.18
Teredo,navalis,57.75,2.25,1500:372:3,0.16
Teredo,navalis,58.25,0.25,1500:380:1,0.02
Teredo,navalis,58.25,0.75,1500:380:2,0.01
Teredo,navalis,58.75,0.25,1500:380:3,0.01
Teredo,navalis,58.75,0.75,1500:380:4,0.02
Teredo,navalis,58.25,1.25,1500:381:1,0.04
Teredo,navalis,58.25,1.75,1500:381:2,0.09
Teredo,navalis,58.75,1.25,1500:381:3,0.04
Teredo,navalis,58.75,1.75,1500:381:4,0.06
Teredo,navalis,58.25,2.25,1500:382:1,0.15
Teredo,navalis,58.75,2.25,1500:382:3,0.12
Teredo,navalis,59.25,0.25,1500:390:1,0.01
Teredo,navalis,59.25,0.75,1500:390:2,0.03
Teredo,navalis,59.75,0.75,1500:390:4,0.02
Teredo,navalis,59.25,1.25,1500:391:1,0.07
Teredo,navalis,59.25,1.75,1500:391:2,0.10
Teredo,navalis,59.75,1.25,1500:391:3,0.05
Teredo,navalis,59.75,1.75,1500:391:4,0.09
Teredo,navalis,59.25,2.25,1500:392:1,0.15
Teredo,navalis,59.75,2.25,1500:392:3,0.12
Teredo,navalis,59.75,2.75,1500:392:4,0.15
Teredo,navalis,60.25,1.25,1600:101:1,0.01
Teredo,navalis,60.25,1.75,1600:101:2,0.04
Teredo,navalis,60.25,2.25,1600:102:1,0.06
Teredo,navalis,60.25,2.75,1600:102:2,0.10
Teredo,navalis,60.75,2.75,1600:102:4,0.05
Teredo,navalis,60.25,3.25,1600:103:1,0.18
Teredo,navalis,60.75,3.25,1600:103:3,0.17
Teredo,navalis,61.25,2.75,1600:112:2,0.03
Teredo,navalis,61.75,4.25,1600:114:3,0.01
Teredo,navalis,62.25,4.25,1600:124:1,0.01
Teredo,navalis,64.25,8.25,1600:248:1,0.02
Teredo,navalis,65.25,10.25,1601:350:1,0.11
Teredo,navalis,66.25,11.25,1601:361:1,0.04
Teredo,navalis,67.25,11.25,1601:371:1,0.15
Teredo,navalis,67.75,11.25,1601:371:3,0.07
Teredo,navalis,67.75,13.75,1601:373:4,0.19
Teredo,navalis,68.25,11.25,1601:381:1,0.07
Teredo,navalis,68.25,11.75,1601:381:2,0.08
Teredo,navalis,68.25,12.25,1601:382:1,0.03
Teredo,navalis,68.75,12.25,1601:382:3,0.08
Teredo,navalis,68.75,12.75,1601:382:4,0.10
Teredo,navalis,69.25,13.75,1601:393:2,0.18
Teredo,navalis,69.25,14.25,1601:394:1,0.13
Teredo,navalis,68.25,17.25,1601:487:1,0.18
Teredo,navalis,69.75,16.25,1601:496:3,0.19
Teredo,navalis,69.25,18.25,1601:498:1,0.15
Teredo,navalis,69.25,18.75,1601:498:2,0.07
Teredo,navalis,69.75,18.75,1601:498:4,0.12
Teredo,navalis,69.75,19.25,1601:499:3,0.08
Teredo,navalis,69.75,19.75,1601:499:4,0.07
Teredo,navalis,69.75,20.25,1602:390:3,0.07
Teredo,navalis,69.75,20.75,1602:390:4,0.06
Teredo,navalis,70.25,16.75,1701:206:2,0.01
Teredo,navalis,70.25,17.25,1701:207:1,0.16
Teredo,navalis,70.75,17.75,1701:207:4,0.02
Teredo,navalis,70.75,18.25,1701:208:3,0.04
Teredo,navalis,70.75,18.75,1701:208:4,0.06
Teredo,navalis,70.75,19.25,1701:209:3,0.05
Teredo,navalis,70.75,20.25,1702:100:3,0.17
Teredo,navalis,70.75,20.75,1702:100:4,0.18
Teredo,navalis,70.25,21.25,1702:101:1,0.19
Teredo,navalis,70.25,21.75,1702:101:2,0.15
Teredo,navalis,70.75,21.25,1702:101:3,0.01
Teredo,navalis,70.25,22.25,1702:102:1,0.10
Teredo,navalis,70.25,22.75,1702:102:2,0.05
Teredo,navalis,70.75,22.75,1702:102:4,0.16
Teredo,navalis,70.75,23.25,1702:103:3,0.12
Teredo,navalis,70.75,23.75,1702:103:4,0.07
Teredo,navalis,70.75,24.25,1702:104:3,0.02
Teredo,navalis,70.75,24.75,1702:104:4,0.01
Teredo,navalis,71.25,23.25,1702:113:1,0.02
Teredo,navalis,71.25,23.75,1702:113:2,0.13
Teredo,navalis,71.25,24.25,1702:114:1,0.12
Teredo,navalis,71.25,24.75,1702:114:2,0.11
Teredo,navalis,70.75,25.75,1702:205:4,0.01
Teredo,navalis,70.75,26.25,1702:206:3,0.04
Teredo,navalis,70.75,26.75,1702:206:4,0.06
Teredo,navalis,70.75,27.25,1702:207:3,0.05
Teredo,navalis,70.75,28.25,1702:208:3,0.03
Teredo,navalis,70.75,28.75,1702:208:4,0.03
Teredo,navalis,70.75,29.25,1702:209:3,0.05
Teredo,navalis,70.75,29.75,1702:209:4,0.05
Teredo,navalis,71.25,25.25,1702:215:1,0.10
Teredo,navalis,71.25,25.75,1702:215:2,0.10
Teredo,navalis,71.25,26.25,1702:216:1,0.09
Teredo,navalis,71.25,26.75,1702:216:2,0.03
Teredo,navalis,71.25,27.25,1702:217:1,0.09
Teredo,navalis,71.25,27.75,1702:217:2,0.08
Teredo,navalis,71.25,28.25,1702:218:1,0.07
Teredo,navalis,71.25,28.75,1702:218:2,0.06
Teredo,navalis,70.75,30.25,1703:100:3,0.04
Teredo,navalis,70.75,30.75,1703:100:4,0.03
Teredo,navalis,70.25,31.25,1703:101:1,0.01
Teredo,navalis,70.75,31.25,1703:101:3,0.01
Teredo,navalis,-37.75,174.75,3317:374:4,0.04
Teredo,navalis,-38.25,174.75,3317:384:2,0.02
Teredo,navalis,-38.75,174.25,3317:384:3,0.06
Teredo,navalis,-38.75,174.75,3317:384:4,0.03
Teredo,navalis,-39.75,173.75,3317:393:4,0.01
Teredo,navalis,-39.25,174.25,3317:394:1,0.07
Teredo,navalis,-39.75,174.25,3317:394:3,0.10
Teredo,navalis,-39.75,174.75,3317:394:4,0.08
Teredo,navalis,-39.75,175.25,3317:495:3,0.04
Teredo,navalis,-43.25,169.75,3416:239:2,0.19
Teredo,navalis,-49.75,164.25,3416:394:3,0.09
Teredo,navalis,-46.25,165.75,3416:465:2,0.03
Teredo,navalis,-46.75,165.75,3416:465:4,0.03
Teredo,navalis,-46.75,166.25,3416:466:3,0.02
Teredo,navalis,-47.25,169.75,3416:479:2,0.09
Teredo,navalis,-40.75,171.75,3417:101:4,0.05
Teredo,navalis,-40.25,172.25,3417:102:1,0.03
Teredo,navalis,-40.25,172.75,3417:102:2,0.09
Teredo,navalis,-40.25,173.25,3417:103:1,0.10
Teredo,navalis,-40.25,173.75,3417:103:2,0.06
Teredo,navalis,-40.25,174.25,3417:104:1,0.05
Teredo,navalis,-40.25,174.75,3417:104:2,0.11
Teredo,navalis,-40.75,174.25,3417:104:3,0.18
Teredo,navalis,-40.75,174.75,3417:104:4,0.13
Teredo,navalis,-41.25,171.25,3417:111:1,0.01
Teredo,navalis,-42.25,170.75,3417:120:2,0.04
Teredo,navalis,-42.75,170.25,3417:120:3,0.12
Teredo,navalis,-42.75,170.75,3417:120:4,0.11
Teredo,navalis,-42.25,171.25,3417:121:1,0.01
Teredo,navalis,-42.75,173.25,3417:123:3,0.15
Teredo,navalis,-43.25,170.25,3417:130:1,0.15
Teredo,navalis,-43.25,170.75,3417:130:2,0.14
Teredo,navalis,-43.75,174.25,3417:134:3,0.11
Teredo,navalis,-44.75,172.75,3417:142:4,0.19
Teredo,navalis,-40.25,175.25,3417:205:1,0.07
Teredo,navalis,-40.75,175.25,3417:205:3,0.12
Teredo,navalis,-40.75,176.25,3417:206:3,0.01
Teredo,navalis,-41.25,175.75,3417:215:2,0.19
Teredo,navalis,-41.25,176.25,3417:216:1,0.13
Teredo,navalis,-43.75,175.25,3417:235:3,0.07
Teredo,navalis,-43.25,176.75,3417:236:2,0.04
Teredo,navalis,-44.25,175.75,3417:245:2,0.10
Teredo,navalis,-47.75,178.75,3417:478:4,0.15
Teredo,navalis,-47.75,179.75,3417:479:4,0.09
Teredo,navalis,-50.25,165.75,3516:205:2,0.10
Teredo,navalis,-50.25,167.75,3516:207:2,0.18
Teredo,navalis,-52.25,168.75,3516:228:2,0.15
Teredo,navalis,-52.75,168.75,3516:228:4,0.12
Teredo,navalis,-52.25,169.75,3516:229:2,0.04
Teredo,navalis,-52.75,170.25,3517:120:3,0.03
Teredo,navalis,-24.25,-47.25,5204:247:1,0.10
Teredo,navalis,-24.75,-47.25,5204:247:3,0.18
Teredo,navalis,-25.25,-47.75,5204:457:2,0.05
Teredo,navalis,-25.25,-48.75,5204:458:2,0.14
Teredo,navalis,-25.75,-48.75,5204:458:4,0.07
Teredo,navalis,-26.25,-48.75,5204:468:2,0.14
Teredo,navalis,-26.75,-48.75,5204:468:4,0.14
Teredo,navalis,-27.25,-48.75,5204:478:2,0.11
Teredo,navalis,-27.75,-48.75,5204:478:4,0.07
Teredo,navalis,-28.25,-48.75,5204:488:2,0.05
Teredo,navalis,-28.75,-48.75,5204:488:4,0.04
Teredo,navalis,-29.75,-49.25,5204:499:3,0.10
Teredo,navalis,-30.75,-49.75,5304:209:4,0.09
Teredo,navalis,-31.25,-50.75,5305:110:2,0.15
Teredo,navalis,-36.25,-54.75,5305:364:2,0.15
Teredo,navalis,-36.75,-54.75,5305:364:4,0.09
Teredo,navalis,-37.75,-54.75,5305:374:4,0.18
Teredo,navalis,-36.75,-55.25,5305:465:3,0.12
Teredo,navalis,-39.75,-61.25,5306:391:3,0.16
Teredo,navalis,-43.75,-59.75,5405:239:4,0.16
Teredo,navalis,-45.25,-59.75,5405:459:2,0.10
Teredo,navalis,-49.75,-58.75,5405:498:4,0.16
Teredo,navalis,-49.75,-59.75,5405:499:4,0.16
Teredo,navalis,-40.25,-61.25,5406:101:1,0.07
Teredo,navalis,-40.75,-61.25,5406:101:3,0.15
Teredo,navalis,-40.75,-61.75,5406:101:4,0.11
Teredo,navalis,-41.25,-61.75,5406:111:2,0.07
Teredo,navalis,-41.75,-61.75,5406:111:4,0.14
Teredo,navalis,-41.25,-62.25,5406:112:1,0.01
Teredo,navalis,-41.75,-62.25,5406:112:3,0.06
Teredo,navalis,-41.75,-62.75,5406:112:4,0.01
Teredo,navalis,-42.25,-62.75,5406:122:2,0.15
Teredo,navalis,-42.25,-63.25,5406:123:1,0.12
Teredo,navalis,-42.25,-63.75,5406:123:2,0.04
Teredo,navalis,-42.75,-64.25,5406:124:3,0.08
Teredo,navalis,-42.75,-64.75,5406:124:4,0.09
Teredo,navalis,-41.25,-65.25,5406:215:1,0.07
Teredo,navalis,-41.75,-65.25,5406:215:3,0.10
Teredo,navalis,-42.25,-65.25,5406:225:1,0.12
Teredo,navalis,-42.75,-65.25,5406:225:3,0.16
Teredo,navalis,-48.75,-61.25,5406:381:3,0.10
Teredo,navalis,-48.75,-61.75,5406:381:4,0.08
Teredo,navalis,-48.25,-62.25,5406:382:1,0.07
Teredo,navalis,-49.25,-60.75,5406:390:2,0.03
Teredo,navalis,-49.75,-60.75,5406:390:4,0.13
Teredo,navalis,-49.25,-61.25,5406:391:1,0.07
Teredo,navalis,-49.25,-61.75,5406:391:2,0.13
Teredo,navalis,-49.75,-61.25,5406:391:3,0.12
Teredo,navalis,-49.75,-61.75,5406:391:4,0.11
Teredo,navalis,-49.75,-64.75,5406:394:4,0.18
Teredo,navalis,-43.25,-176.25,5417:236:1,0.17
Teredo,navalis,-44.25,-175.25,5417:245:1,0.07
Teredo,navalis,-50.75,-56.75,5505:206:4,0.05
Teredo,navalis,-50.25,-57.75,5505:207:2,0.01
Teredo,navalis,-50.75,-57.25,5505:207:3,0.06
Teredo,navalis,-50.75,-57.75,5505:207:4,0.10
Teredo,navalis,-50.25,-58.25,5505:208:1,0.02
Teredo,navalis,-50.25,-59.25,5505:209:1,0.15
Teredo,navalis,-51.25,-56.75,5505:216:2,0.03
