Mapping parameters for Tetronarce nobiliana (Electric ray)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34 |  37 |  41 |  47,
Bounding Box (NSWE): ,60,-48,-180,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,10,150,800
Temperature (°C),1,0.44,11.43,27.74,31.94
Salinity (psu),1,21.03,30.73,36.92,40.48
Primary Production (mgC·m-3·day-1) ,1,0.07,1.07,36.48,103.37
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.11
Dissolved Bottom Oxygen (mmol·m-3),0,8.45,143.03,268.44,358.8
Distance to Land (km),0,0,13,205,875
 

Map data (HSPEC) for predicted occurrences (n = 5641): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Tetronarce,nobiliana,2.75,9.75,1000:229:4,0.19
Tetronarce,nobiliana,3.25,6.75,1000:236:2,0.14
Tetronarce,nobiliana,3.25,7.25,1000:237:1,0.13
Tetronarce,nobiliana,3.25,9.75,1000:239:2,0.13
Tetronarce,nobiliana,38.25,1.75,1300:381:2,0.09
Tetronarce,nobiliana,38.75,2.25,1300:382:3,0.15
Tetronarce,nobiliana,39.25,0.75,1300:390:2,0.15
Tetronarce,nobiliana,38.75,7.75,1300:487:4,0.13
Tetronarce,nobiliana,38.25,8.75,1300:488:2,0.08
Tetronarce,nobiliana,38.25,9.25,1300:489:1,0.19
Tetronarce,nobiliana,39.75,7.75,1300:497:4,0.14
Tetronarce,nobiliana,33.25,14.75,1301:134:2,0.16
Tetronarce,nobiliana,31.25,19.25,1301:219:1,0.14
Tetronarce,nobiliana,32.25,16.75,1301:226:2,0.02
Tetronarce,nobiliana,32.75,19.75,1301:229:4,0.17
Tetronarce,nobiliana,33.25,15.25,1301:235:1,0.06
Tetronarce,nobiliana,33.25,15.75,1301:235:2,0.01
Tetronarce,nobiliana,33.75,15.25,1301:235:3,0.16
Tetronarce,nobiliana,33.75,15.75,1301:235:4,0.16
Tetronarce,nobiliana,34.25,16.25,1301:246:1,0.16
Tetronarce,nobiliana,35.75,13.75,1301:353:4,0.18
Tetronarce,nobiliana,35.25,14.25,1301:354:1,0.19
Tetronarce,nobiliana,36.25,12.75,1301:362:2,0.19
Tetronarce,nobiliana,38.75,10.25,1301:380:3,0.01
Tetronarce,nobiliana,38.75,10.75,1301:380:4,0.10
Tetronarce,nobiliana,38.75,11.25,1301:381:3,0.02
Tetronarce,nobiliana,38.75,11.75,1301:381:4,0.07
Tetronarce,nobiliana,38.75,12.75,1301:382:4,0.06
Tetronarce,nobiliana,39.75,14.75,1301:394:4,0.17
Tetronarce,nobiliana,36.75,15.75,1301:465:4,0.06
Tetronarce,nobiliana,39.25,15.25,1301:495:1,0.08
Tetronarce,nobiliana,33.25,21.75,1302:131:2,0.11
Tetronarce,nobiliana,33.25,22.25,1302:132:1,0.16
Tetronarce,nobiliana,33.25,22.75,1302:132:2,0.16
Tetronarce,nobiliana,33.25,23.25,1302:133:1,0.17
Tetronarce,nobiliana,34.75,23.75,1302:143:4,0.19
Tetronarce,nobiliana,34.75,24.25,1302:144:3,0.19
Tetronarce,nobiliana,34.75,24.75,1302:144:4,0.19
Tetronarce,nobiliana,34.75,27.75,1302:247:4,0.01
Tetronarce,nobiliana,35.75,22.75,1302:352:4,0.12
Tetronarce,nobiliana,35.25,23.75,1302:353:2,0.19
Tetronarce,nobiliana,35.75,24.75,1302:354:4,0.17
Tetronarce,nobiliana,37.25,20.75,1302:370:2,0.09
Tetronarce,nobiliana,35.25,27.25,1302:457:1,0.19
Tetronarce,nobiliana,35.75,28.25,1302:458:3,0.02
Tetronarce,nobiliana,32.25,32.75,1303:122:2,0.13
Tetronarce,nobiliana,32.25,33.25,1303:123:1,0.09
Tetronarce,nobiliana,34.25,33.25,1303:143:1,0.04
Tetronarce,nobiliana,34.25,33.75,1303:143:2,0.12
Tetronarce,nobiliana,35.75,33.25,1303:353:3,0.10
Tetronarce,nobiliana,35.25,34.75,1303:354:2,0.10
Tetronarce,nobiliana,40.25,2.75,1400:102:2,0.17
Tetronarce,nobiliana,43.25,7.25,1400:237:1,0.10
Tetronarce,nobiliana,43.75,8.75,1400:238:4,0.03
Tetronarce,nobiliana,43.75,9.25,1400:239:3,0.16
Tetronarce,nobiliana,40.25,13.75,1401:103:2,0.01
Tetronarce,nobiliana,40.25,14.25,1401:104:1,0.13
Tetronarce,nobiliana,41.25,10.25,1401:110:1,0.09
Tetronarce,nobiliana,41.75,10.25,1401:110:3,0.18
