Mapping parameters for Thalia democratica (salp)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 21 |  27 |  37 |  51 |  57 |  61 |  67 |  71 |  77 |  81,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,103,364,830
Temperature (°C),1,5.89,10.75,26.44,30.64
Salinity (psu),1,28.95,32.11,36.64,39.12
Primary Production (mgC·m-3·day-1) ,1,0.23,1.82,18.15,62.42
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.62,115.09,268.57,359.78
Distance to Land (km),0,1,18,435,1416
 

Map data (HSPEC) for predicted occurrences (n = 12456): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Thalia,democratica,1.25,43.75,1004:113:2,0.02
Thalia,democratica,8.25,49.75,1004:489:2,0.04
Thalia,democratica,8.75,51.25,1005:381:3,0.08
Thalia,democratica,1.25,73.25,1007:113:1,0.08
Thalia,democratica,6.25,73.75,1007:363:2,0.06
Thalia,democratica,7.25,78.25,1007:478:1,0.17
Thalia,democratica,6.75,80.25,1008:360:3,0.03
Thalia,democratica,2.75,94.75,1009:124:4,0.10
Thalia,democratica,3.25,94.75,1009:134:2,0.01
Thalia,democratica,3.75,94.75,1009:134:4,0.16
Thalia,democratica,4.75,93.25,1009:143:3,0.13
Thalia,democratica,4.75,93.75,1009:143:4,0.04
Thalia,democratica,0.75,99.25,1009:209:3,0.08
Thalia,democratica,3.75,95.25,1009:235:3,0.15
Thalia,democratica,3.75,98.75,1009:238:4,0.06
Thalia,democratica,3.25,99.25,1009:239:1,0.01
Thalia,democratica,3.25,99.75,1009:239:2,0.09
Thalia,democratica,3.75,99.25,1009:239:3,0.08
Thalia,democratica,3.75,99.75,1009:239:4,0.14
Thalia,democratica,4.25,98.25,1009:248:1,0.17
Thalia,democratica,4.25,98.75,1009:248:2,0.12
Thalia,democratica,4.75,98.25,1009:248:3,0.17
Thalia,democratica,4.75,98.75,1009:248:4,0.17
Thalia,democratica,4.25,99.25,1009:249:1,0.17
Thalia,democratica,4.25,99.75,1009:249:2,0.15
Thalia,democratica,4.75,99.25,1009:249:3,0.17
Thalia,democratica,4.75,99.75,1009:249:4,0.12
Thalia,democratica,5.25,93.75,1009:353:2,0.15
Thalia,democratica,5.75,93.25,1009:353:3,0.03
Thalia,democratica,5.75,93.75,1009:353:4,0.17
Thalia,democratica,7.75,92.75,1009:372:4,0.17
Thalia,democratica,8.75,92.25,1009:382:3,0.08
Thalia,democratica,9.75,92.25,1009:392:3,0.15
Thalia,democratica,9.75,93.25,1009:393:3,0.12
Thalia,democratica,5.25,95.75,1009:455:2,0.13
Thalia,democratica,5.75,96.75,1009:456:4,0.09
Thalia,democratica,5.25,99.25,1009:459:1,0.14
Thalia,democratica,5.25,99.75,1009:459:2,0.11
Thalia,democratica,5.75,99.25,1009:459:3,0.17
Thalia,democratica,5.75,99.75,1009:459:4,0.11
Thalia,democratica,6.25,95.75,1009:465:2,0.02
Thalia,democratica,6.75,96.25,1009:466:3,0.13
Thalia,democratica,6.25,97.25,1009:467:1,0.06
Thalia,democratica,6.75,97.25,1009:467:3,0.17
Thalia,democratica,6.25,99.25,1009:469:1,0.19
Thalia,democratica,6.25,99.75,1009:469:2,0.10
Thalia,democratica,6.75,99.25,1009:469:3,0.18
Thalia,democratica,6.75,99.75,1009:469:4,0.19
Thalia,democratica,7.25,95.75,1009:475:2,0.05
Thalia,democratica,7.25,96.25,1009:476:1,0.16
Thalia,democratica,7.75,96.75,1009:476:4,0.19
Thalia,democratica,7.75,98.75,1009:478:4,0.17
Thalia,democratica,7.25,99.25,1009:479:1,0.19
Thalia,democratica,8.25,98.75,1009:488:2,0.10
Thalia,democratica,8.75,99.75,1009:489:4,0.16
Thalia,democratica,9.75,98.75,1009:498:4,0.09
Thalia,democratica,9.25,99.25,1009:499:1,0.08
Thalia,democratica,9.25,99.75,1009:499:2,0.14
Thalia,democratica,9.75,99.25,1009:499:3,0.11
Thalia,democratica,9.75,99.75,1009:499:4,0.04
Thalia,democratica,0.25,103.25,1010:103:1,0.01
Thalia,democratica,0.25,103.75,1010:103:2,0.07
Thalia,democratica,0.75,103.25,1010:103:3,0.04
Thalia,democratica,0.75,103.75,1010:103:4,0.06
Thalia,democratica,0.25,104.25,1010:104:1,0.09
Thalia,democratica,0.25,104.75,1010:104:2,0.10
Thalia,democratica,0.75,104.25,1010:104:3,0.09
Thalia,democratica,0.75,104.75,1010:104:4,0.13
Thalia,democratica,1.25,103.25,1010:113:1,0.03
Thalia,democratica,1.25,103.75,1010:113:2,0.06
Thalia,democratica,1.75,103.25,1010:113:3,0.03
Thalia,democratica,1.25,104.25,1010:114:1,0.13
Thalia,democratica,1.25,104.75,1010:114:2,0.17
Thalia,democratica,1.75,104.25,1010:114:3,0.14
Thalia,democratica,2.25,100.25,1010:120:1,0.01
Thalia,democratica,2.75,100.25,1010:120:3,0.05
Thalia,democratica,2.75,100.75,1010:120:4,0.03
Thalia,democratica,2.25,103.75,1010:123:2,0.10
Thalia,democratica,2.75,103.25,1010:123:3,0.04
Thalia,democratica,2.75,103.75,1010:123:4,0.10
Thalia,democratica,2.25,104.25,1010:124:1,0.14
Thalia,democratica,3.25,100.25,1010:130:1,0.13
Thalia,democratica,3.25,100.75,1010:130:2,0.09
Thalia,democratica,3.75,100.25,1010:130:3,0.13
Thalia,democratica,3.75,100.75,1010:130:4,0.07
Thalia,democratica,3.25,101.25,1010:131:1,0.04
Thalia,democratica,3.75,101.25,1010:131:3,0.03
Thalia,democratica,3.25,103.25,1010:133:1,0.17
Thalia,democratica,3.75,103.75,1010:133:4,0.17
Thalia,democratica,4.25,100.25,1010:140:1,0.11
Thalia,democratica,4.25,100.75,1010:140:2,0.05
Thalia,democratica,4.75,100.25,1010:140:3,0.07
Thalia,democratica,4.75,100.75,1010:140:4,0.07
Thalia,democratica,0.25,105.25,1010:205:1,0.13
Thalia,democratica,0.25,105.75,1010:205:2,0.17
Thalia,democratica,0.75,105.25,1010:205:3,0.18
Thalia,democratica,0.25,107.75,1010:207:2,0.17
Thalia,democratica,0.75,107.25,1010:207:3,0.09
Thalia,democratica,0.75,107.75,1010:207:4,0.07
Thalia,democratica,0.25,108.25,1010:208:1,0.18
Thalia,democratica,0.25,108.75,1010:208:2,0.08
Thalia,democratica,0.75,108.25,1010:208:3,0.13
Thalia,democratica,0.75,108.75,1010:208:4,0.15
Thalia,democratica,0.25,109.25,1010:209:1,0.06
Thalia,democratica,1.25,107.75,1010:217:2,0.16
Thalia,democratica,1.25,108.25,1010:218:1,0.16
Thalia,democratica,1.25,108.75,1010:218:2,0.09
Thalia,democratica,1.75,108.25,1010:218:3,0.18
Thalia,democratica,1.75,108.75,1010:218:4,0.10
Thalia,democratica,1.25,109.25,1010:219:1,0.05
Thalia,democratica,1.75,109.25,1010:219:3,0.07
Thalia,democratica,1.75,109.75,1010:219:4,0.05
Thalia,democratica,2.25,108.75,1010:228:2,0.13
Thalia,democratica,2.25,109.25,1010:229:1,0.06
Thalia,democratica,2.25,109.75,1010:229:2,0.09
Thalia,democratica,2.75,109.25,1010:229:3,0.12
Thalia,democratica,2.75,109.75,1010:229:4,0.18
Thalia,democratica,3.25,106.25,1010:236:1,0.17
Thalia,democratica,4.25,108.25,1010:248:1,0.18
Thalia,democratica,5.25,100.25,1010:350:1,0.13
Thalia,democratica,5.75,100.25,1010:350:3,0.04
Thalia,democratica,5.75,102.25,1010:352:3,0.01
Thalia,democratica,5.75,102.75,1010:352:4,0.12
Thalia,democratica,5.75,103.25,1010:353:3,0.14
Thalia,democratica,6.25,100.25,1010:360:1,0.06
Thalia,democratica,6.75,100.25,1010:360:3,0.06
Thalia,democratica,6.75,100.75,1010:360:4,0.12
Thalia,democratica,6.25,101.75,1010:361:2,0.09
Thalia,democratica,6.75,101.25,1010:361:3,0.08
Thalia,democratica,6.75,101.75,1010:361:4,0.18
Thalia,democratica,6.25,102.25,1010:362:1,0.08
Thalia,democratica,6.25,102.75,1010:362:2,0.13
Thalia,democratica,6.75,102.25,1010:362:3,0.12
Thalia,democratica,6.75,102.75,1010:362:4,0.16
Thalia,democratica,6.25,103.25,1010:363:1,0.18
Thalia,democratica,7.25,100.25,1010:370:1,0.13
Thalia,democratica,7.25,100.75,1010:370:2,0.15
Thalia,democratica,7.75,100.75,1010:370:4,0.16
Thalia,democratica,7.25,101.25,1010:371:1,0.15
Thalia,democratica,7.25,101.75,1010:371:2,0.12
Thalia,democratica,7.75,101.25,1010:371:3,0.17
Thalia,democratica,7.75,101.75,1010:371:4,0.18
Thalia,democratica,7.25,102.25,1010:372:1,0.16
Thalia,democratica,7.25,102.75,1010:372:2,0.19
Thalia,democratica,8.25,100.25,1010:380:1,0.14
Thalia,democratica,8.25,100.75,1010:380:2,0.14
Thalia,democratica,8.75,100.25,1010:380:3,0.16
Thalia,democratica,8.75,100.75,1010:380:4,0.10
Thalia,democratica,8.25,101.25,1010:381:1,0.14
Thalia,democratica,8.25,101.75,1010:381:2,0.19
Thalia,democratica,8.75,101.25,1010:381:3,0.13
Thalia,democratica,8.75,101.75,1010:381:4,0.19
Thalia,democratica,8.25,103.75,1010:383:2,0.19
Thalia,democratica,8.75,103.25,1010:383:3,0.17
Thalia,democratica,8.75,103.75,1010:383:4,0.12
Thalia,democratica,8.25,104.25,1010:384:1,0.13
Thalia,democratica,8.25,104.75,1010:384:2,0.13
