Mapping parameters for Thryssa hamiltonii (Hamilton's thryssa)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 ,
Bounding Box (NSWE): ,31,-25,52,152

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,10,12,13
Temperature (°C),1,22.16,25.12,29.18,33.38
Salinity (psu),1,20.55,29.64,35.37,38.65
Primary Production (mgC·m-3·day-1) ,1,1.99,4.59,32.17,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,41.32,184.08,212.77,249.82
Distance to Land (km),0,0,3,95,620
 

Map data (HSPEC) for predicted occurrences (n = 2652): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Thryssa,hamiltonii,-20.25,151.25,3215:101:1,0.18
Thryssa,hamiltonii,-24.25,113.25,3211:143:1,0.19
Thryssa,hamiltonii,-24.75,112.75,3211:142:4,0.16
Thryssa,hamiltonii,-19.75,150.75,3115:390:4,0.10
Thryssa,hamiltonii,-18.75,148.75,3114:488:4,0.13
Thryssa,hamiltonii,-13.75,144.75,3114:134:4,0.13
Thryssa,hamiltonii,-14.25,121.75,3112:141:2,0.13
Thryssa,hamiltonii,-13.75,122.25,3112:132:3,0.12
Thryssa,hamiltonii,-13.75,121.75,3112:131:4,0.10
Thryssa,hamiltonii,-17.25,119.75,3111:479:2,0.12
Thryssa,hamiltonii,-17.25,119.25,3111:479:1,0.01
Thryssa,hamiltonii,-14.25,60.75,3106:140:2,0.03
Thryssa,hamiltonii,-17.25,59.25,3105:479:1,0.07
Thryssa,hamiltonii,-15.75,59.75,3105:459:4,0.18
Thryssa,hamiltonii,-9.25,144.75,3014:394:2,0.19
Thryssa,hamiltonii,-7.75,130.25,3013:370:3,0.08
Thryssa,hamiltonii,-8.25,129.75,3012:489:2,0.17
Thryssa,hamiltonii,-7.75,129.75,3012:479:4,0.09
Thryssa,hamiltonii,-7.25,128.75,3012:478:2,0.17
Thryssa,hamiltonii,-6.75,129.25,3012:469:3,0.19
Thryssa,hamiltonii,-2.25,123.75,3012:123:2,0.18
Thryssa,hamiltonii,-2.25,123.25,3012:123:1,0.19
Thryssa,hamiltonii,-0.25,123.25,3012:103:1,0.15
Thryssa,hamiltonii,-0.75,122.25,3012:102:3,0.16
Thryssa,hamiltonii,-0.25,122.75,3012:102:2,0.14
Thryssa,hamiltonii,-0.25,122.25,3012:102:1,0.14
Thryssa,hamiltonii,-0.25,121.75,3012:101:2,0.15
Thryssa,hamiltonii,-0.25,120.25,3012:100:1,0.16
Thryssa,hamiltonii,-0.25,97.75,3009:207:2,0.17
Thryssa,hamiltonii,-0.25,73.25,3007:103:1,0.13
Thryssa,hamiltonii,24.75,131.25,1213:141:3,0.18
Thryssa,hamiltonii,26.25,120.75,1212:360:2,0.15
Thryssa,hamiltonii,20.25,122.25,1212:102:1,0.11
Thryssa,hamiltonii,20.25,121.75,1212:101:2,0.18
Thryssa,hamiltonii,24.75,118.25,1211:248:3,0.03
Thryssa,hamiltonii,24.25,118.25,1211:248:1,0.07
Thryssa,hamiltonii,24.25,117.75,1211:247:2,0.16
Thryssa,hamiltonii,23.75,117.75,1211:237:4,0.19
Thryssa,hamiltonii,21.25,92.25,1209:112:1,0.04
Thryssa,hamiltonii,21.25,90.25,1209:110:1,0.19
Thryssa,hamiltonii,20.25,91.25,1209:101:1,0.16
Thryssa,hamiltonii,22.25,88.25,1208:228:1,0.03
Thryssa,hamiltonii,26.25,55.75,1205:465:2,0.19
Thryssa,hamiltonii,25.25,55.25,1205:455:1,0.04
Thryssa,hamiltonii,27.25,53.25,1205:373:1,0.17
Thryssa,hamiltonii,27.75,52.75,1205:372:4,0.16
Thryssa,hamiltonii,27.75,52.25,1205:372:3,0.08
Thryssa,hamiltonii,27.25,52.75,1205:372:2,0.11
Thryssa,hamiltonii,26.25,54.75,1205:364:2,0.17
Thryssa,hamiltonii,26.75,53.75,1205:363:4,0.19
Thryssa,hamiltonii,26.75,53.25,1205:363:3,0.15
Thryssa,hamiltonii,25.75,54.75,1205:354:4,0.02
Thryssa,hamiltonii,25.75,52.25,1205:352:3,0.06
Thryssa,hamiltonii,25.25,52.75,1205:352:2,0.02
Thryssa,hamiltonii,25.25,52.25,1205:352:1,0.05
Thryssa,hamiltonii,24.75,54.75,1205:144:4,0.03
Thryssa,hamiltonii,24.25,54.25,1205:144:1,0.06
Thryssa,hamiltonii,24.25,53.75,1205:143:2,0.01
Thryssa,hamiltonii,24.75,52.75,1205:142:4,0.01
Thryssa,hamiltonii,24.75,52.25,1205:142:3,0.06
Thryssa,hamiltonii,24.25,52.75,1205:142:2,0.07
Thryssa,hamiltonii,19.75,122.25,1112:392:3,0.06
Thryssa,hamiltonii,18.75,120.75,1112:380:4,0.16
Thryssa,hamiltonii,17.25,122.75,1112:372:2,0.01
Thryssa,hamiltonii,16.75,122.75,1112:362:4,0.02
Thryssa,hamiltonii,10.25,125.75,1112:205:2,0.10
Thryssa,hamiltonii,13.25,124.25,1112:134:1,0.01
Thryssa,hamiltonii,13.25,122.25,1112:132:1,0.15
Thryssa,hamiltonii,12.75,121.75,1112:121:4,0.19
Thryssa,hamiltonii,10.25,120.25,1112:100:1,0.15
Thryssa,hamiltonii,19.25,112.25,1111:392:1,0.10
Thryssa,hamiltonii,19.25,111.75,1111:391:2,0.18
Thryssa,hamiltonii,17.25,110.25,1111:370:1,0.05
Thryssa,hamiltonii,12.75,119.75,1111:229:4,0.18
Thryssa,hamiltonii,11.25,117.25,1111:217:1,0.01
Thryssa,hamiltonii,11.75,116.75,1111:216:4,0.18
Thryssa,hamiltonii,11.25,116.75,1111:216:2,0.10
Thryssa,hamiltonii,11.25,116.25,1111:216:1,0.05
Thryssa,hamiltonii,10.75,117.25,1111:207:3,0.04
Thryssa,hamiltonii,11.75,114.75,1111:114:4,0.05
Thryssa,hamiltonii,11.25,114.75,1111:114:2,0.07
Thryssa,hamiltonii,11.25,114.25,1111:114:1,0.16
Thryssa,hamiltonii,10.75,114.75,1111:104:4,0.06
Thryssa,hamiltonii,10.75,114.25,1111:104:3,0.15
Thryssa,hamiltonii,10.25,114.75,1111:104:2,0.05
Thryssa,hamiltonii,10.25,114.25,1111:104:1,0.12
Thryssa,hamiltonii,10.25,100.25,1110:100:1,0.06
Thryssa,hamiltonii,18.25,94.25,1109:384:1,0.15
Thryssa,hamiltonii,18.25,93.75,1109:383:2,0.15
Thryssa,hamiltonii,15.25,93.75,1109:353:2,0.17
Thryssa,hamiltonii,12.25,97.75,1109:227:2,0.11
Thryssa,hamiltonii,10.75,97.75,1109:207:4,0.18
Thryssa,hamiltonii,10.25,97.75,1109:207:2,0.10
Thryssa,hamiltonii,13.25,94.25,1109:134:1,0.08
Thryssa,hamiltonii,12.25,93.75,1109:123:2,0.07
Thryssa,hamiltonii,11.25,93.25,1109:113:1,0.02
Thryssa,hamiltonii,11.75,92.25,1109:112:3,0.06
Thryssa,hamiltonii,11.25,92.75,1109:112:2,0.13
Thryssa,hamiltonii,11.25,92.25,1109:112:1,0.08
Thryssa,hamiltonii,10.75,92.75,1109:102:4,0.05
Thryssa,hamiltonii,10.75,92.25,1109:102:3,0.05
Thryssa,hamiltonii,10.25,92.75,1109:102:2,0.05
Thryssa,hamiltonii,10.25,92.25,1109:102:1,0.12
Thryssa,hamiltonii,19.25,70.25,1107:390:1,0.16
Thryssa,hamiltonii,18.75,71.25,1107:381:3,0.03
Thryssa,hamiltonii,18.25,71.25,1107:381:1,0.01
Thryssa,hamiltonii,18.75,70.75,1107:380:4,0.07
Thryssa,hamiltonii,18.25,70.75,1107:380:2,0.01
