Mapping parameters for Thryssa mystax (Moustached thryssa)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  57 |  61 |  71,
Bounding Box (NSWE): ,25,-9,69,117

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,24.68,26.21,29.59,33.79
Salinity (psu),1,24.79,28.3,34.97,38.35
Primary Production (mgC·m-3·day-1) ,1,1.38,2.38,44.19,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,68.88,148.71,215.01,233.33
Distance to Land (km),0,1,4,28,280
 

Map data (HSPEC) for predicted occurrences (n = 4729): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Thryssa,mystax,-8.75,95.75,3009:485:4,0.14
Thryssa,mystax,-8.75,95.25,3009:485:3,0.08
Thryssa,mystax,-8.25,95.75,3009:485:2,0.12
Thryssa,mystax,-8.25,95.25,3009:485:1,0.06
Thryssa,mystax,-7.75,97.25,3009:477:3,0.15
Thryssa,mystax,-7.25,97.75,3009:477:2,0.16
Thryssa,mystax,-7.25,97.25,3009:477:1,0.14
Thryssa,mystax,-7.75,96.75,3009:476:4,0.07
Thryssa,mystax,-7.75,96.25,3009:476:3,0.06
Thryssa,mystax,-7.25,96.75,3009:476:2,0.12
Thryssa,mystax,-7.25,96.25,3009:476:1,0.11
Thryssa,mystax,-7.75,95.75,3009:475:4,0.04
Thryssa,mystax,-7.75,95.25,3009:475:3,0.02
Thryssa,mystax,-7.25,95.75,3009:475:2,0.11
Thryssa,mystax,-7.25,95.25,3009:475:1,0.10
Thryssa,mystax,-6.75,97.75,3009:467:4,0.18
Thryssa,mystax,-6.75,97.25,3009:467:3,0.19
Thryssa,mystax,-6.25,97.75,3009:467:2,0.17
Thryssa,mystax,-6.25,97.25,3009:467:1,0.18
Thryssa,mystax,-6.75,96.75,3009:466:4,0.18
