Mapping parameters for Thryssa setirostris (Longjaw thryssa)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 47 |  51 |  57 |  61 |  71,
Bounding Box (NSWE): ,28,-40,21,170

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,3,11,20
Temperature (°C),1,21.47,24.77,28.87,33.07
Salinity (psu),1,21.09,30.87,35.44,38.28
Primary Production (mgC·m-3·day-1) ,1,1.03,4.4,25.17,195.85
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,11.34,156.87,212.38,248.13
Distance to Land (km),0,0,7,110,727
 

Map data (HSPEC) for predicted occurrences (n = 3762): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Thryssa,setirostris,-31.25,159.25,3315:219:1,0.04
Thryssa,setirostris,-32.25,152.75,3315:122:2,0.12
Thryssa,setirostris,-31.75,152.75,3315:112:4,0.10
Thryssa,setirostris,-31.25,152.75,3315:112:2,0.15
Thryssa,setirostris,-30.75,114.75,3311:104:4,0.02
Thryssa,setirostris,-30.25,114.75,3311:104:2,0.02
Thryssa,setirostris,-33.25,27.75,3302:237:2,0.18
Thryssa,setirostris,-32.75,27.75,3302:227:4,0.03
Thryssa,setirostris,-26.25,162.25,3216:362:1,0.05
Thryssa,setirostris,-26.25,161.75,3216:361:2,0.06
Thryssa,setirostris,-25.75,163.25,3216:353:3,0.06
Thryssa,setirostris,-25.75,162.75,3216:352:4,0.06
Thryssa,setirostris,-25.75,162.25,3216:352:3,0.06
Thryssa,setirostris,-25.25,162.75,3216:352:2,0.07
Thryssa,setirostris,-25.25,162.25,3216:352:1,0.08
Thryssa,setirostris,-25.75,161.75,3216:351:4,0.07
Thryssa,setirostris,-25.75,161.25,3216:351:3,0.08
Thryssa,setirostris,-25.25,161.75,3216:351:2,0.08
Thryssa,setirostris,-22.25,168.75,3216:228:2,0.03
Thryssa,setirostris,-22.75,167.75,3216:227:4,0.15
Thryssa,setirostris,-22.75,167.25,3216:227:3,0.14
Thryssa,setirostris,-22.25,167.75,3216:227:2,0.12
Thryssa,setirostris,-22.25,167.25,3216:227:1,0.19
Thryssa,setirostris,-22.75,166.75,3216:226:4,0.11
Thryssa,setirostris,-22.25,166.75,3216:226:2,0.14
Thryssa,setirostris,-22.25,166.25,3216:226:1,0.14
Thryssa,setirostris,-21.75,168.25,3216:218:3,0.06
Thryssa,setirostris,-21.25,168.25,3216:218:1,0.02
Thryssa,setirostris,-21.75,167.75,3216:217:4,0.07
Thryssa,setirostris,-21.25,167.75,3216:217:2,0.03
Thryssa,setirostris,-21.25,167.25,3216:217:1,0.04
Thryssa,setirostris,-21.75,166.75,3216:216:4,0.12
Thryssa,setirostris,-21.75,166.25,3216:216:3,0.11
Thryssa,setirostris,-21.25,166.25,3216:216:1,0.04
Thryssa,setirostris,-21.75,165.75,3216:215:4,0.11
Thryssa,setirostris,-21.75,165.25,3216:215:3,0.11
Thryssa,setirostris,-21.25,165.75,3216:215:2,0.13
Thryssa,setirostris,-21.25,165.25,3216:215:1,0.12
Thryssa,setirostris,-20.75,166.75,3216:206:4,0.01
Thryssa,setirostris,-20.75,165.75,3216:205:4,0.01
Thryssa,setirostris,-20.75,165.25,3216:205:3,0.08
Thryssa,setirostris,-21.25,164.75,3216:114:2,0.16
Thryssa,setirostris,-21.25,161.75,3216:111:2,0.06
