Mapping parameters for Todaropsis eblanae (lesser flying squid)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 27 |  34 |  37 |  47 |  57 |  71 |  81,
Bounding Box (NSWE): ,73,-44,-18,155

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,20,103,322,700
Temperature (°C),1,8.08,10.28,27.38,31.58
Salinity (psu),1,21.03,30.9,38.14,39.25
Primary Production (mgC·m-3·day-1) ,1,-0.07,0.93,46,103.37
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,18.78,107.42,275.85,387.04
Distance to Land (km),0,0,15,215,876
 

Map data (HSPEC) for predicted occurrences (n = 8000): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Todaropsis,eblanae,2.25,9.75,1000:229:2,0.18
Todaropsis,eblanae,2.75,9.75,1000:229:4,0.17
Todaropsis,eblanae,3.25,7.25,1000:237:1,0.06
Todaropsis,eblanae,3.25,9.75,1000:239:2,0.12
Todaropsis,eblanae,3.75,9.25,1000:239:3,0.17
Todaropsis,eblanae,3.75,9.75,1000:239:4,0.05
Todaropsis,eblanae,4.75,8.75,1000:248:4,0.12
Todaropsis,eblanae,7.25,78.25,1007:478:1,0.02
Todaropsis,eblanae,2.75,94.75,1009:124:4,0.06
Todaropsis,eblanae,4.75,93.25,1009:143:3,0.11
Todaropsis,eblanae,0.75,99.25,1009:209:3,0.05
Todaropsis,eblanae,3.75,95.25,1009:235:3,0.17
Todaropsis,eblanae,3.75,98.75,1009:238:4,0.12
Todaropsis,eblanae,3.25,99.75,1009:239:2,0.18
Todaropsis,eblanae,3.75,99.25,1009:239:3,0.13
Todaropsis,eblanae,5.25,93.75,1009:353:2,0.12
Todaropsis,eblanae,5.75,93.75,1009:353:4,0.13
Todaropsis,eblanae,7.75,92.75,1009:372:4,0.11
Todaropsis,eblanae,9.75,92.25,1009:392:3,0.06
Todaropsis,eblanae,9.75,93.25,1009:393:3,0.02
Todaropsis,eblanae,5.25,95.75,1009:455:2,0.15
Todaropsis,eblanae,5.75,96.75,1009:456:4,0.03
Todaropsis,eblanae,6.75,96.25,1009:466:3,0.07
Todaropsis,eblanae,6.75,97.25,1009:467:3,0.19
Todaropsis,eblanae,7.25,96.25,1009:476:1,0.14
Todaropsis,eblanae,7.75,96.75,1009:476:4,0.18
Todaropsis,eblanae,8.25,98.75,1009:488:2,0.13
Todaropsis,eblanae,9.75,98.75,1009:498:4,0.16
Todaropsis,eblanae,9.75,99.75,1009:499:4,0.05
Todaropsis,eblanae,0.25,103.75,1010:103:2,0.13
Todaropsis,eblanae,0.75,103.25,1010:103:3,0.16
Todaropsis,eblanae,0.75,103.75,1010:103:4,0.09
Todaropsis,eblanae,0.25,104.25,1010:104:1,0.11
Todaropsis,eblanae,0.25,104.75,1010:104:2,0.10
Todaropsis,eblanae,0.75,104.25,1010:104:3,0.09
Todaropsis,eblanae,0.75,104.75,1010:104:4,0.16
Todaropsis,eblanae,1.25,102.25,1010:112:1,0.15
Todaropsis,eblanae,1.25,102.75,1010:112:2,0.04
Todaropsis,eblanae,1.75,102.25,1010:112:3,0.11
Todaropsis,eblanae,1.75,102.75,1010:112:4,0.13
Todaropsis,eblanae,1.25,103.25,1010:113:1,0.16
Todaropsis,eblanae,1.75,103.25,1010:113:3,0.14
Todaropsis,eblanae,1.75,104.25,1010:114:3,0.19
Todaropsis,eblanae,2.25,100.75,1010:120:2,0.01
Todaropsis,eblanae,2.75,100.25,1010:120:3,0.16
Todaropsis,eblanae,2.75,100.75,1010:120:4,0.14
Todaropsis,eblanae,2.25,101.75,1010:121:2,0.15
Todaropsis,eblanae,2.25,102.25,1010:122:1,0.07
Todaropsis,eblanae,2.25,102.75,1010:122:2,0.06
Todaropsis,eblanae,2.75,103.75,1010:123:4,0.18
Todaropsis,eblanae,3.25,101.25,1010:131:1,0.17
Todaropsis,eblanae,3.75,101.25,1010:131:3,0.04
