Mapping parameters for Trachurus japonicus (Japanese jack mackerel)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Team reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  61 |  71 ,
Bounding Box (NSWE): ,46,13,105,148

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,50,275,275
Temperature (°C),1,8.44,14.65,26.51,27.82
Salinity (psu),1,28.14,32.45,34.21,34.95
Primary Production (mgC·m-3·day-1) ,1,3,4.83,33.14,97.58
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,69.69,144.27,257.87,299.58
Distance to Land (km),0,1,5,131,325
 

Map data (HSPEC) for predicted occurrences (n = 863): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration,Dissolved Bottom Oxygen,Distance to Land
Trachurus,japonicus,13.25,109.75,1110:239:2,0.07,1,0.14933107099458,1,0.461202149427,1,1,1
Trachurus,japonicus,13.75,109.75,1110:239:4,0.02,1,0.1438667355603,1,0.10765021656706,1,1,1
Trachurus,japonicus,15.75,109.25,1110:459:3,0.16,1,0.28509061391115,1,0.55355194325004,1,1,1
Trachurus,japonicus,17.25,109.25,1110:479:1,0.06,1,0.31978251915855,1,0.2000000103901,1,1,1
Trachurus,japonicus,18.25,105.75,1110:485:2,0.04,0.04,1,1,1,1,1,1
Trachurus,japonicus,19.75,109.75,1110:499:4,0.06,0.06,1,1,1,1,1,1
Trachurus,japonicus,17.75,110.25,1111:370:3,0.01,1,0.32600251408931,1,0.031147537946377,1,1,1
Trachurus,japonicus,18.25,110.75,1111:380:2,0.17,1,0.45101684104397,1,0.37595623483261,1,1,1
Trachurus,japonicus,19.75,110.25,1111:390:3,0.02,0.02,1,1,1,1,1,1
Trachurus,japonicus,20.75,108.75,1210:208:4,0.07,1,1,1,0.074863336125361,1,1,1
Trachurus,japonicus,21.25,106.75,1210:216:2,0.02,0.02,1,1,1,1,1,1
Trachurus,japonicus,21.25,107.25,1210:217:1,0.04,0.04,1,1,1,1,1,1
Trachurus,japonicus,20.25,113.25,1211:103:1,0.11,1,0.95540572304764,1,0.11256828680227,1,1,1
Trachurus,japonicus,20.75,114.75,1211:104:4,0.10,1,1,1,0.097267751078137,1,1,1
Trachurus,japonicus,21.75,111.25,1211:111:3,0.18,0.2,1,0.88850303703007,1,1,1,1
Trachurus,japonicus,21.75,113.25,1211:113:3,0.19,1,1,0.5889134418107,0.32105838627197,1,1,1
Trachurus,japonicus,21.75,113.75,1211:113:4,0.17,1,1,0.60318138317276,0.27846058198638,1,1,1
Trachurus,japonicus,22.75,113.75,1211:123:4,0.11,1,1,0.2258047117158,0.47791657878478,1,1,1
Trachurus,japonicus,22.75,114.25,1211:124:3,0.06,1,1,0.15146369668557,0.39447620398209,1,1,1
Trachurus,japonicus,22.75,114.75,1211:124:4,0.09,1,1,0.20877133610631,0.44903424816943,1,1,1
Trachurus,japonicus,23.25,113.25,1211:133:1,0.01,0.02,1,0.42499209446032,0.73941669583987,1,1,1
Trachurus,japonicus,21.25,115.75,1211:215:2,0.15,1,1,1,0.14644807174069,1,1,1
Trachurus,japonicus,21.25,116.25,1211:216:1,0.09,1,1,1,0.093442585339639,1,1,1
Trachurus,japonicus,21.25,116.75,1211:216:2,0.06,1,1,1,0.055191309644224,1,1,1
Trachurus,japonicus,25.75,119.25,1211:459:3,0.12,0.24,1,0.51163528690206,0.95525963418533,1,1,1
Trachurus,japonicus,20.75,121.75,1212:101:4,0.05,1,0.24733821490336,0.77605788772176,0.25846989204486,1,1,1
Trachurus,japonicus,21.25,120.75,1212:110:2,0.02,1,0.047764028301679,1,0.38797818429646,1,1,1
Trachurus,japonicus,21.25,121.75,1212:111:2,0.19,1,0.37227537431786,0.80380723283095,0.63224055809402,1,1,1
Trachurus,japonicus,28.25,121.75,1212:381:2,0.07,0.94,1,0.073274351327981,1,1,1,1
Trachurus,japonicus,25.75,131.25,1213:351:3,0.15,1,1,0.40902215081297,0.36448086484697,1,1,1
Trachurus,japonicus,27.75,141.75,1214:371:4,0.09,1,1,0.28984379124,0.31202183069427,1,1,1
Trachurus,japonicus,27.25,142.25,1214:372:1,0.03,1,1,0.25235665811082,0.12021861827927,1,1,1
Trachurus,japonicus,27.75,142.25,1214:372:3,0.10,1,1,0.29484413765568,0.32568300967334,1,1,1
Trachurus,japonicus,28.25,141.75,1214:381:2,0.16,1,1,0.33868738122893,0.46775957640728,1,1,1
Trachurus,japonicus,28.25,142.25,1214:382:1,0.15,1,1,0.33841932142108,0.45519130192493,1,1,1
Trachurus,japonicus,31.25,122.75,1312:112:2,0.16,0.66,1,0.24175563378566,1,1,1,1
Trachurus,japonicus,31.75,122.75,1312:112:4,0.06,0.64,1,0.088978778458538,1,1,1,1
Trachurus,japonicus,32.25,122.75,1312:122:2,0.10,0.68,1,0.14609966587854,1,1,1,1
