Mapping parameters for Ulvaria subbifurcata (Radiated shanny)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31,
Bounding Box (NSWE): ,52,41,-72,-47

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,7,31,60
Temperature (°C),1,1.5,5.05,11.09,19.38
Salinity (psu),1,19.97,27.84,32.29,35.52
Primary Production (mgC·m-3·day-1) ,1,2.24,3.26,15.63,42.4
Sea Ice Concentration (0-1 fraction),1,-0.99,0,0.03,0.12
Dissolved Bottom Oxygen (mmol·m-3),0,2.1,154.79,331.72,355.82
Distance to Land (km),0,0,9,227,425
 

Map data (HSPEC) for predicted occurrences (n = 371): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Ulvaria,subbifurcata,45.25,-54.75,7405:354:2,0.10
Ulvaria,subbifurcata,46.25,-53.25,7405:363:1,0.17
Ulvaria,subbifurcata,47.25,-53.25,7405:373:1,0.17
Ulvaria,subbifurcata,45.75,-55.25,7405:455:3,0.14
Ulvaria,subbifurcata,45.25,-57.25,7405:457:1,0.03
Ulvaria,subbifurcata,45.25,-58.25,7405:458:1,0.03
Ulvaria,subbifurcata,46.75,-59.75,7405:469:4,0.14
Ulvaria,subbifurcata,47.25,-57.25,7405:477:1,0.10
Ulvaria,subbifurcata,49.25,-59.25,7405:499:1,0.03
Ulvaria,subbifurcata,43.75,-60.75,7406:130:4,0.07
Ulvaria,subbifurcata,43.25,-61.75,7406:131:2,0.07
Ulvaria,subbifurcata,43.75,-61.75,7406:131:4,0.12
Ulvaria,subbifurcata,43.25,-64.75,7406:134:2,0.02
Ulvaria,subbifurcata,42.25,-66.75,7406:226:2,0.17
Ulvaria,subbifurcata,44.25,-65.75,7406:245:2,0.17
Ulvaria,subbifurcata,44.75,-67.75,7406:247:4,0.16
Ulvaria,subbifurcata,44.75,-68.25,7406:248:3,0.14
Ulvaria,subbifurcata,44.75,-68.75,7406:248:4,0.12
Ulvaria,subbifurcata,45.25,-60.25,7406:350:1,0.07
Ulvaria,subbifurcata,48.25,-61.25,7406:381:1,0.03
Ulvaria,subbifurcata,48.25,-61.75,7406:381:2,0.03
Ulvaria,subbifurcata,48.25,-63.75,7406:383:2,0.14
Ulvaria,subbifurcata,49.75,-64.75,7406:394:4,0.19
Ulvaria,subbifurcata,47.75,-69.25,7406:479:3,0.01
Ulvaria,subbifurcata,48.25,-66.75,7406:486:2,0.01
Ulvaria,subbifurcata,48.75,-68.75,7406:488:4,0.01
Ulvaria,subbifurcata,48.75,-69.25,7406:489:3,0.01
Ulvaria,subbifurcata,49.25,-65.25,7406:495:1,0.08
Ulvaria,subbifurcata,49.25,-65.75,7406:495:2,0.01
Ulvaria,subbifurcata,49.75,-66.75,7406:496:4,0.04
Ulvaria,subbifurcata,49.25,-67.25,7406:497:1,0.02
