Mapping parameters for Urolophus paucimaculatus (Sparsely-spotted stingaree)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  81,
Bounding Box (NSWE): ,-32,-44,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,5,20,75,150
Temperature (°C),1,11.41,15,20.57,22.84
Salinity (psu),1,34.96,35.46,36.14,40.11
Primary Production (mgC·m-3·day-1) ,1,1.09,4.41,21.77,38.9
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,158.37,195.75,252.99,284.67
Distance to Land (km),0,1,6,114,357
 

Map data (HSPEC) for predicted occurrences (n = 464): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Urolophus,paucimaculatus,-34.75,121.75,3312:141:4,0.09
Urolophus,paucimaculatus,-33.75,131.75,3313:131:4,0.19
Urolophus,paucimaculatus,-32.75,137.75,3313:227:4,0.03
Urolophus,paucimaculatus,-33.25,137.25,3313:237:1,0.11
Urolophus,paucimaculatus,-33.75,137.25,3313:237:3,0.03
Urolophus,paucimaculatus,-34.25,136.25,3313:246:1,0.14
Urolophus,paucimaculatus,-34.75,136.75,3313:246:4,0.13
Urolophus,paucimaculatus,-34.75,137.25,3313:247:3,0.12
Urolophus,paucimaculatus,-36.25,135.75,3313:465:2,0.05
Urolophus,paucimaculatus,-32.25,153.25,3315:123:1,0.04
Urolophus,paucimaculatus,-33.25,151.25,3315:131:1,0.07
Urolophus,paucimaculatus,-34.25,151.75,3315:141:2,0.03
Urolophus,paucimaculatus,-35.25,151.25,3315:351:1,0.12
Urolophus,paucimaculatus,-32.25,168.25,3316:228:1,0.19
Urolophus,paucimaculatus,-37.25,174.75,3317:374:2,0.13
Urolophus,paucimaculatus,-38.25,172.75,3317:382:2,0.14
Urolophus,paucimaculatus,-36.25,176.25,3317:466:1,0.19
Urolophus,paucimaculatus,-37.25,177.75,3317:477:2,0.08
Urolophus,paucimaculatus,-42.75,147.25,3414:227:3,0.03
Urolophus,paucimaculatus,-43.75,145.75,3414:235:4,0.14
Urolophus,paucimaculatus,-43.25,147.25,3414:237:1,0.14
Urolophus,paucimaculatus,-43.75,168.25,3416:238:3,0.08
Urolophus,paucimaculatus,-43.75,168.75,3416:238:4,0.03
Urolophus,paucimaculatus,-43.25,169.25,3416:239:1,0.14
Urolophus,paucimaculatus,-43.25,169.75,3416:239:2,0.08
Urolophus,paucimaculatus,-40.75,171.75,3417:101:4,0.16
Urolophus,paucimaculatus,-40.75,172.25,3417:102:3,0.01
Urolophus,paucimaculatus,-40.75,172.75,3417:102:4,0.03
Urolophus,paucimaculatus,-40.75,173.25,3417:103:3,0.04
Urolophus,paucimaculatus,-40.75,173.75,3417:103:4,0.09
Urolophus,paucimaculatus,-40.75,174.25,3417:104:3,0.19
Urolophus,paucimaculatus,-41.25,171.25,3417:111:1,0.09
Urolophus,paucimaculatus,-41.25,174.75,3417:114:2,0.05
Urolophus,paucimaculatus,-42.25,170.75,3417:120:2,0.19
Urolophus,paucimaculatus,-43.25,170.25,3417:130:1,0.01
Urolophus,paucimaculatus,-41.25,175.25,3417:215:1,0.09
Urolophus,paucimaculatus,-41.25,175.75,3417:215:2,0.15
Urolophus,paucimaculatus,-34.75,114.75,3311:144:4,0.25
Urolophus,paucimaculatus,-32.25,131.75,3313:121:2,0.35
Urolophus,paucimaculatus,-32.25,132.25,3313:122:1,0.27
Urolophus,paucimaculatus,-32.25,132.75,3313:122:2,0.30
Urolophus,paucimaculatus,-32.75,132.25,3313:122:3,0.33
Urolophus,paucimaculatus,-32.75,132.75,3313:122:4,0.35
Urolophus,paucimaculatus,-33.75,137.75,3313:237:4,0.20
Urolophus,paucimaculatus,-33.25,138.25,3313:238:1,0.22
Urolophus,paucimaculatus,-34.25,137.75,3313:247:2,0.32
Urolophus,paucimaculatus,-38.25,149.75,3314:489:2,0.27
Urolophus,paucimaculatus,-32.25,152.75,3315:122:2,0.36
Urolophus,paucimaculatus,-32.75,152.75,3315:122:4,0.36
Urolophus,paucimaculatus,-34.25,171.75,3317:141:2,0.35
