Mapping parameters for Urophycis mystacea ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 41,
Bounding Box (NSWE): ,-21,-42,-65,-40

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,60,126,307,610
Temperature (°C),1,11.68,19.53,23.94,26.76
Salinity (psu),1,32.71,34.98,36.87,38
Primary Production (mgC·m-3·day-1) ,1,4.71,5.71,23.08,32.69
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,189.89,202.15,228.39,257.15
Distance to Land (km),0,14,97,236,427
 

Map data (HSPEC) for predicted occurrences (n = 196): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Urophycis,mystacea,-22.25,-41.75,5204:121:2,0.06
Urophycis,mystacea,-22.75,-42.75,5204:122:4,0.02
Urophycis,mystacea,-23.25,-43.25,5204:133:1,0.04
Urophycis,mystacea,-24.75,-46.75,5204:246:4,0.11
Urophycis,mystacea,-26.25,-48.25,5204:468:1,0.01
Urophycis,mystacea,-26.75,-48.25,5204:468:3,0.02
Urophycis,mystacea,-27.25,-46.25,5204:476:1,0.02
Urophycis,mystacea,-27.25,-47.75,5204:477:2,0.01
Urophycis,mystacea,-28.75,-46.75,5204:486:4,0.11
Urophycis,mystacea,-29.75,-50.25,5205:390:3,0.04
Urophycis,mystacea,-30.75,-47.75,5304:207:4,0.14
Urophycis,mystacea,-31.75,-50.75,5305:110:4,0.09
Urophycis,mystacea,-32.25,-51.25,5305:121:1,0.02
Urophycis,mystacea,-33.25,-51.75,5305:131:2,0.03
Urophycis,mystacea,-35.25,-52.75,5305:352:2,0.07
Urophycis,mystacea,-35.75,-52.25,5305:352:3,0.15
Urophycis,mystacea,-36.25,-53.75,5305:363:2,0.01
Urophycis,mystacea,-36.75,-54.25,5305:364:3,0.01
Urophycis,mystacea,-37.25,-54.75,5305:374:2,0.06
Urophycis,mystacea,-37.75,-54.75,5305:374:4,0.15
Urophycis,mystacea,-38.25,-54.75,5305:384:2,0.05
Urophycis,mystacea,-38.75,-54.75,5305:384:4,0.01
Urophycis,mystacea,-37.75,-55.25,5305:475:3,0.09
Urophycis,mystacea,-37.75,-55.75,5305:475:4,0.01
Urophycis,mystacea,-38.25,-55.25,5305:485:1,0.08
Urophycis,mystacea,-38.25,-55.75,5305:485:2,0.09
Urophycis,mystacea,-38.75,-55.25,5305:485:3,0.03
Urophycis,mystacea,-38.75,-55.75,5305:485:4,0.04
Urophycis,mystacea,-38.25,-56.25,5305:486:1,0.05
Urophycis,mystacea,-38.25,-56.75,5305:486:2,0.02
Urophycis,mystacea,-38.75,-56.25,5305:486:3,0.10
Urophycis,mystacea,-38.75,-56.75,5305:486:4,0.14
Urophycis,mystacea,-38.25,-57.25,5305:487:1,0.01
Urophycis,mystacea,-38.25,-57.75,5305:487:2,0.04
Urophycis,mystacea,-38.75,-57.25,5305:487:3,0.09
Urophycis,mystacea,-38.75,-57.75,5305:487:4,0.06
Urophycis,mystacea,-38.75,-58.75,5305:488:4,0.04
Urophycis,mystacea,-38.75,-59.25,5305:489:3,0.10
Urophycis,mystacea,-38.75,-59.75,5305:489:4,0.01
Urophycis,mystacea,-39.25,-56.25,5305:496:1,0.04
Urophycis,mystacea,-39.25,-56.75,5305:496:2,0.10
Urophycis,mystacea,-39.75,-56.75,5305:496:4,0.03
Urophycis,mystacea,-39.25,-57.25,5305:497:1,0.12
Urophycis,mystacea,-39.25,-57.75,5305:497:2,0.08
Urophycis,mystacea,-39.75,-57.25,5305:497:3,0.06
Urophycis,mystacea,-39.75,-57.75,5305:497:4,0.09
Urophycis,mystacea,-39.25,-58.25,5305:498:1,0.07
Urophycis,mystacea,-39.25,-58.75,5305:498:2,0.08
Urophycis,mystacea,-39.75,-58.25,5305:498:3,0.07
Urophycis,mystacea,-39.75,-58.75,5305:498:4,0.09
Urophycis,mystacea,-39.25,-59.25,5305:499:1,0.06
Urophycis,mystacea,-39.75,-59.25,5305:499:3,0.07
Urophycis,mystacea,-39.75,-59.75,5305:499:4,0.02
Urophycis,mystacea,-40.25,-57.75,5405:207:2,0.02
