Mapping parameters for Urosalpinx cinerea (Atlantic oyster drill)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  31 |  37 |  77,
Bounding Box (NSWE): ,46,28,81,64

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,1,8,15
Temperature (°C),1,-0.11,8.58,22.59,25.97
Salinity (psu),1,19.98,28.4,35.92,39.9
Primary Production (mgC·m-3·day-1) ,1,3.71,4.96,47.03,93.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.04
Dissolved Bottom Oxygen (mmol·m-3),0,60.87,198.77,295.29,362.94
Distance to Land (km),0,0,2,83,207
 

Map data (HSPEC) for predicted occurrences (n = 455): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Urosalpinx,cinerea,38.25,21.75,1302:381:2,0.07
Urosalpinx,cinerea,36.75,28.75,1302:468:4,0.08
Urosalpinx,cinerea,37.25,28.25,1302:478:1,0.09
Urosalpinx,cinerea,38.25,26.75,1302:486:2,0.17
Urosalpinx,cinerea,33.75,35.25,1303:235:3,0.15
Urosalpinx,cinerea,33.75,35.75,1303:235:4,0.16
Urosalpinx,cinerea,36.75,30.75,1303:360:4,0.17
Urosalpinx,cinerea,36.25,33.75,1303:363:2,0.07
Urosalpinx,cinerea,36.75,34.75,1303:364:4,0.18
Urosalpinx,cinerea,35.75,35.75,1303:455:4,0.15
Urosalpinx,cinerea,41.75,2.75,1400:112:4,0.10
Urosalpinx,cinerea,42.75,3.25,1400:123:3,0.03
Urosalpinx,cinerea,44.25,13.25,1401:143:1,0.07
Urosalpinx,cinerea,40.25,19.75,1401:209:2,0.10
Urosalpinx,cinerea,40.25,25.75,1402:205:2,0.15
Urosalpinx,cinerea,40.75,28.75,1402:208:4,0.16
Urosalpinx,cinerea,40.75,29.75,1402:209:4,0.08
Urosalpinx,cinerea,41.25,27.75,1402:217:2,0.08
Urosalpinx,cinerea,41.25,28.25,1402:218:1,0.01
Urosalpinx,cinerea,42.25,27.25,1402:227:1,0.02
Urosalpinx,cinerea,40.75,38.25,1403:208:3,0.03
Urosalpinx,cinerea,40.75,38.75,1403:208:4,0.03
Urosalpinx,cinerea,41.25,36.25,1403:216:1,0.02
Urosalpinx,cinerea,40.75,40.25,1404:100:3,0.02
Urosalpinx,cinerea,28.25,-80.25,7208:380:1,0.10
Urosalpinx,cinerea,28.75,-80.25,7208:380:3,0.07
Urosalpinx,cinerea,29.25,-85.25,7208:495:1,0.04
Urosalpinx,cinerea,29.75,-87.25,7208:497:3,0.05
Urosalpinx,cinerea,29.75,-89.25,7208:499:3,0.13
Urosalpinx,cinerea,36.75,-2.25,7300:362:3,0.17
Urosalpinx,cinerea,36.75,-2.75,7300:362:4,0.10
Urosalpinx,cinerea,36.75,-3.75,7300:363:4,0.01
Urosalpinx,cinerea,36.75,-4.25,7300:364:3,0.16
Urosalpinx,cinerea,32.25,-79.75,7307:229:2,0.10
Urosalpinx,cinerea,38.25,-76.75,7307:486:2,0.03
Urosalpinx,cinerea,38.75,-76.75,7307:486:4,0.10
Urosalpinx,cinerea,38.25,-77.25,7307:487:1,0.18
Urosalpinx,cinerea,38.75,-77.25,7307:487:3,0.16
Urosalpinx,cinerea,39.25,-76.75,7307:496:2,0.16
Urosalpinx,cinerea,30.25,-88.75,7308:208:2,0.15
Urosalpinx,cinerea,30.25,-90.25,7309:100:1,0.06
Urosalpinx,cinerea,37.75,-122.75,7312:372:4,0.08
Urosalpinx,cinerea,38.25,-122.25,7312:382:1,0.16
Urosalpinx,cinerea,44.25,-63.25,7406:143:1,0.07
