Mapping parameters for Vampyroteuthis infernalis (vampire squid)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 21 |  27 |  31 |  34 |  37 |  41 |  47 |  51 |  57 |  61 |  67 |  71 |  77 |  81 |  87,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,100,900,1100,3000
Temperature (°C),1,2.66,14.92,28.59,32.79
Salinity (psu),1,17.66,31.92,36.75,40
Primary Production (mgC·m-3·day-1) ,1,-0.49,0.51,24.43,103.37
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.11
Dissolved Bottom Oxygen (mmol·m-3),0,0.52,83.2,253.59,358.8
Distance to Land (km),0,2,19,400,1788
 

Map data (HSPEC) for predicted occurrences (n = 40941): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Vampyroteuthis,infernalis,70.25,-10.75,7701:100:2,0.01
Vampyroteuthis,infernalis,70.25,-10.25,7701:100:1,0.02
Vampyroteuthis,infernalis,71.25,-6.25,7700:216:1,0.01
Vampyroteuthis,infernalis,71.25,-5.75,7700:215:2,0.03
Vampyroteuthis,infernalis,71.25,-5.25,7700:215:1,0.05
Vampyroteuthis,infernalis,70.25,-9.75,7700:209:2,0.03
Vampyroteuthis,infernalis,70.25,-9.25,7700:209:1,0.04
Vampyroteuthis,infernalis,70.75,-8.25,7700:208:3,0.01
Vampyroteuthis,infernalis,70.25,-8.75,7700:208:2,0.05
Vampyroteuthis,infernalis,70.25,-8.25,7700:208:1,0.07
Vampyroteuthis,infernalis,70.75,-7.75,7700:207:4,0.03
Vampyroteuthis,infernalis,70.75,-7.25,7700:207:3,0.06
Vampyroteuthis,infernalis,70.25,-7.75,7700:207:2,0.10
Vampyroteuthis,infernalis,70.25,-7.25,7700:207:1,0.14
Vampyroteuthis,infernalis,70.75,-6.75,7700:206:4,0.08
Vampyroteuthis,infernalis,70.75,-6.25,7700:206:3,0.11
Vampyroteuthis,infernalis,70.25,-6.75,7700:206:2,0.11
Vampyroteuthis,infernalis,70.25,-6.25,7700:206:1,0.06
Vampyroteuthis,infernalis,70.75,-5.75,7700:205:4,0.14
Vampyroteuthis,infernalis,70.75,-5.25,7700:205:3,0.17
Vampyroteuthis,infernalis,70.25,-5.75,7700:205:2,0.05
Vampyroteuthis,infernalis,70.25,-5.25,7700:205:1,0.12
Vampyroteuthis,infernalis,72.25,-1.75,7700:121:2,0.01
Vampyroteuthis,infernalis,72.25,-1.25,7700:121:1,0.02
Vampyroteuthis,infernalis,72.25,-0.75,7700:120:2,0.05
Vampyroteuthis,infernalis,72.25,-0.25,7700:120:1,0.08
Vampyroteuthis,infernalis,71.75,-4.25,7700:114:3,0.02
Vampyroteuthis,infernalis,71.25,-4.75,7700:114:2,0.08
Vampyroteuthis,infernalis,71.25,-4.25,7700:114:1,0.10
Vampyroteuthis,infernalis,71.75,-3.75,7700:113:4,0.03
Vampyroteuthis,infernalis,71.75,-3.25,7700:113:3,0.05
Vampyroteuthis,infernalis,71.25,-3.75,7700:113:2,0.11
Vampyroteuthis,infernalis,71.25,-3.25,7700:113:1,0.14
Vampyroteuthis,infernalis,71.75,-2.75,7700:112:4,0.06
Vampyroteuthis,infernalis,71.75,-2.25,7700:112:3,0.07
Vampyroteuthis,infernalis,71.25,-2.75,7700:112:2,0.15
Vampyroteuthis,infernalis,71.25,-2.25,7700:112:1,0.14
Vampyroteuthis,infernalis,71.75,-1.75,7700:111:4,0.09
Vampyroteuthis,infernalis,71.75,-1.25,7700:111:3,0.09
Vampyroteuthis,infernalis,71.25,-1.75,7700:111:2,0.19
Vampyroteuthis,infernalis,71.75,-0.75,7700:110:4,0.10
Vampyroteuthis,infernalis,71.75,-0.25,7700:110:3,0.14
Vampyroteuthis,infernalis,71.25,-0.75,7700:110:2,0.13
Vampyroteuthis,infernalis,71.25,-0.25,7700:110:1,0.12
Vampyroteuthis,infernalis,70.75,-4.75,7700:104:4,0.19
Vampyroteuthis,infernalis,70.25,-4.75,7700:104:2,0.14
Vampyroteuthis,infernalis,70.25,-4.25,7700:104:1,0.19
Vampyroteuthis,infernalis,70.75,-3.75,7700:103:4,0.18
Vampyroteuthis,infernalis,70.75,-3.25,7700:103:3,0.12
Vampyroteuthis,infernalis,70.25,-3.75,7700:103:2,0.15
Vampyroteuthis,infernalis,70.25,-3.25,7700:103:1,0.16
Vampyroteuthis,infernalis,70.75,-2.75,7700:102:4,0.09
Vampyroteuthis,infernalis,70.75,-2.25,7700:102:3,0.14
Vampyroteuthis,infernalis,70.25,-2.75,7700:102:2,0.13
Vampyroteuthis,infernalis,70.25,-2.25,7700:102:1,0.16
Vampyroteuthis,infernalis,70.75,-1.75,7700:101:4,0.07
Vampyroteuthis,infernalis,70.75,-1.25,7700:101:3,0.08
Vampyroteuthis,infernalis,70.25,-1.75,7700:101:2,0.16
Vampyroteuthis,infernalis,70.25,-1.25,7700:101:1,0.03
Vampyroteuthis,infernalis,70.75,-0.75,7700:100:4,0.05
Vampyroteuthis,infernalis,70.75,-0.25,7700:100:3,0.01
Vampyroteuthis,infernalis,70.25,-0.75,7700:100:2,0.04
Vampyroteuthis,infernalis,70.25,-0.25,7700:100:1,0.07
Vampyroteuthis,infernalis,60.75,-179.75,7617:209:4,0.04
Vampyroteuthis,infernalis,60.75,-179.25,7617:209:3,0.03
Vampyroteuthis,infernalis,60.25,-179.75,7617:209:2,0.09
Vampyroteuthis,infernalis,60.25,-179.25,7617:209:1,0.08
Vampyroteuthis,infernalis,60.75,-178.75,7617:208:4,0.01
Vampyroteuthis,infernalis,60.25,-178.75,7617:208:2,0.04
Vampyroteuthis,infernalis,60.25,-178.25,7617:208:1,0.01
Vampyroteuthis,infernalis,60.75,-152.25,7615:102:3,0.03
Vampyroteuthis,infernalis,60.25,-152.75,7615:102:2,0.05
Vampyroteuthis,infernalis,60.25,-152.25,7615:102:1,0.07
Vampyroteuthis,infernalis,60.75,-151.75,7615:101:4,0.01
Vampyroteuthis,infernalis,61.75,-149.75,7614:219:4,0.01
Vampyroteuthis,infernalis,61.25,-149.75,7614:219:2,0.02
Vampyroteuthis,infernalis,61.25,-149.25,7614:219:1,0.03
Vampyroteuthis,infernalis,61.25,-148.25,7614:218:1,0.10
Vampyroteuthis,infernalis,61.25,-147.75,7614:217:2,0.05
Vampyroteuthis,infernalis,61.25,-146.75,7614:216:2,0.18
Vampyroteuthis,infernalis,61.25,-146.25,7614:216:1,0.16
Vampyroteuthis,infernalis,60.75,-149.75,7614:209:4,0.06
Vampyroteuthis,infernalis,60.75,-149.25,7614:209:3,0.09
Vampyroteuthis,infernalis,60.25,-149.25,7614:209:1,0.12
Vampyroteuthis,infernalis,60.75,-148.25,7614:208:3,0.03
Vampyroteuthis,infernalis,60.25,-148.25,7614:208:1,0.03
Vampyroteuthis,infernalis,60.75,-147.75,7614:207:4,0.03
Vampyroteuthis,infernalis,60.75,-147.25,7614:207:3,0.19
Vampyroteuthis,infernalis,60.25,-147.75,7614:207:2,0.05
Vampyroteuthis,infernalis,60.25,-147.25,7614:207:1,0.13
Vampyroteuthis,infernalis,60.75,-146.25,7614:206:3,0.07
Vampyroteuthis,infernalis,60.25,-146.75,7614:206:2,0.16
Vampyroteuthis,infernalis,60.25,-146.25,7614:206:1,0.09
Vampyroteuthis,infernalis,60.25,-145.75,7614:205:2,0.01
Vampyroteuthis,infernalis,60.25,-145.25,7614:205:1,0.02
Vampyroteuthis,infernalis,60.25,-144.75,7614:104:2,0.05
Vampyroteuthis,infernalis,60.25,-144.25,7614:104:1,0.03
Vampyroteuthis,infernalis,60.25,-143.75,7614:103:2,0.03
Vampyroteuthis,infernalis,60.25,-143.25,7614:103:1,0.03
Vampyroteuthis,infernalis,60.25,-142.75,7614:102:2,0.12
Vampyroteuthis,infernalis,60.25,-141.75,7614:101:2,0.14
Vampyroteuthis,infernalis,60.25,-139.25,7613:209:1,0.03
Vampyroteuthis,infernalis,62.25,-58.75,7605:228:2,0.01
Vampyroteuthis,infernalis,62.25,-58.25,7605:228:1,0.01
Vampyroteuthis,infernalis,62.75,-57.75,7605:227:4,0.01
Vampyroteuthis,infernalis,62.75,-57.25,7605:227:3,0.01
Vampyroteuthis,infernalis,62.25,-57.75,7605:227:2,0.01
Vampyroteuthis,infernalis,62.25,-57.25,7605:227:1,0.01
Vampyroteuthis,infernalis,62.75,-56.75,7605:226:4,0.01
Vampyroteuthis,infernalis,62.75,-56.25,7605:226:3,0.01
Vampyroteuthis,infernalis,62.25,-56.75,7605:226:2,0.01
Vampyroteuthis,infernalis,62.25,-56.25,7605:226:1,0.02
Vampyroteuthis,infernalis,62.75,-55.75,7605:225:4,0.01
Vampyroteuthis,infernalis,62.75,-55.25,7605:225:3,0.01
Vampyroteuthis,infernalis,62.25,-55.75,7605:225:2,0.01
Vampyroteuthis,infernalis,62.25,-55.25,7605:225:1,0.01
Vampyroteuthis,infernalis,61.75,-59.25,7605:219:3,0.01
Vampyroteuthis,infernalis,61.25,-59.75,7605:219:2,0.01
Vampyroteuthis,infernalis,61.25,-59.25,7605:219:1,0.02
Vampyroteuthis,infernalis,61.75,-58.75,7605:218:4,0.02
Vampyroteuthis,infernalis,61.75,-58.25,7605:218:3,0.02
Vampyroteuthis,infernalis,61.25,-58.75,7605:218:2,0.02
Vampyroteuthis,infernalis,61.25,-58.25,7605:218:1,0.02
Vampyroteuthis,infernalis,61.75,-57.75,7605:217:4,0.02
Vampyroteuthis,infernalis,61.75,-57.25,7605:217:3,0.02
Vampyroteuthis,infernalis,61.25,-57.75,7605:217:2,0.02
Vampyroteuthis,infernalis,61.25,-57.25,7605:217:1,0.01
Vampyroteuthis,infernalis,61.75,-56.75,7605:216:4,0.01
Vampyroteuthis,infernalis,61.75,-56.25,7605:216:3,0.01
Vampyroteuthis,infernalis,61.25,-56.75,7605:216:2,0.01
Vampyroteuthis,infernalis,61.25,-56.25,7605:216:1,0.01
Vampyroteuthis,infernalis,61.75,-55.75,7605:215:4,0.01
Vampyroteuthis,infernalis,61.75,-55.25,7605:215:3,0.01
Vampyroteuthis,infernalis,61.25,-55.75,7605:215:2,0.01
Vampyroteuthis,infernalis,61.25,-55.25,7605:215:1,0.01
Vampyroteuthis,infernalis,60.75,-59.75,7605:209:4,0.01
Vampyroteuthis,infernalis,60.75,-59.25,7605:209:3,0.02
Vampyroteuthis,infernalis,60.25,-59.75,7605:209:2,0.01
Vampyroteuthis,infernalis,60.25,-59.25,7605:209:1,0.02
Vampyroteuthis,infernalis,60.75,-58.75,7605:208:4,0.02
Vampyroteuthis,infernalis,60.75,-58.25,7605:208:3,0.02
Vampyroteuthis,infernalis,60.25,-58.75,7605:208:2,0.02
Vampyroteuthis,infernalis,60.25,-58.25,7605:208:1,0.02
Vampyroteuthis,infernalis,60.75,-57.75,7605:207:4,0.02
Vampyroteuthis,infernalis,60.75,-57.25,7605:207:3,0.01
Vampyroteuthis,infernalis,60.25,-57.75,7605:207:2,0.02
Vampyroteuthis,infernalis,60.25,-57.25,7605:207:1,0.02
Vampyroteuthis,infernalis,60.75,-56.75,7605:206:4,0.01
Vampyroteuthis,infernalis,60.75,-56.25,7605:206:3,0.01
Vampyroteuthis,infernalis,60.25,-56.75,7605:206:2,0.01
Vampyroteuthis,infernalis,60.75,-55.75,7605:205:4,0.01
Vampyroteuthis,infernalis,60.75,-55.25,7605:205:3,0.01
Vampyroteuthis,infernalis,62.75,-54.75,7605:124:4,0.01
Vampyroteuthis,infernalis,62.75,-54.25,7605:124:3,0.01
Vampyroteuthis,infernalis,62.25,-54.75,7605:124:2,0.01
Vampyroteuthis,infernalis,62.25,-54.25,7605:124:1,0.01
Vampyroteuthis,infernalis,62.75,-53.75,7605:123:4,0.01
Vampyroteuthis,infernalis,62.25,-53.75,7605:123:2,0.01
Vampyroteuthis,infernalis,62.25,-53.25,7605:123:1,0.01
Vampyroteuthis,infernalis,62.25,-52.75,7605:122:2,0.01
Vampyroteuthis,infernalis,61.75,-54.75,7605:114:4,0.01
Vampyroteuthis,infernalis,61.75,-54.25,7605:114:3,0.01
Vampyroteuthis,infernalis,61.25,-54.75,7605:114:2,0.01
Vampyroteuthis,infernalis,61.25,-54.25,7605:114:1,0.01
Vampyroteuthis,infernalis,61.75,-53.75,7605:113:4,0.01
Vampyroteuthis,infernalis,61.75,-53.25,7605:113:3,0.01
Vampyroteuthis,infernalis,61.75,-52.75,7605:112:4,0.01
Vampyroteuthis,infernalis,61.75,-52.25,7605:112:3,0.01
Vampyroteuthis,infernalis,61.25,-52.25,7605:112:1,0.01
Vampyroteuthis,infernalis,61.75,-51.75,7605:111:4,0.01
Vampyroteuthis,infernalis,61.25,-51.75,7605:111:2,0.01
Vampyroteuthis,infernalis,61.25,-51.25,7605:111:1,0.01
Vampyroteuthis,infernalis,61.25,-50.75,7605:110:2,0.01
Vampyroteuthis,infernalis,60.75,-50.25,7605:100:3,0.03
Vampyroteuthis,infernalis,60.75,-49.75,7604:209:4,0.01
Vampyroteuthis,infernalis,60.25,-49.75,7604:209:2,0.01
Vampyroteuthis,infernalis,60.25,-49.25,7604:209:1,0.01
Vampyroteuthis,infernalis,60.25,-48.75,7604:208:2,0.05
Vampyroteuthis,infernalis,63.25,-40.25,7604:130:1,0.11
Vampyroteuthis,infernalis,62.25,-41.25,7604:121:1,0.02
Vampyroteuthis,infernalis,62.75,-40.75,7604:120:4,0.11
Vampyroteuthis,infernalis,62.25,-40.75,7604:120:2,0.17
Vampyroteuthis,infernalis,61.75,-41.25,7604:111:3,0.11
Vampyroteuthis,infernalis,61.25,-41.75,7604:111:2,0.07
Vampyroteuthis,infernalis,60.75,-42.25,7604:102:3,0.01
Vampyroteuthis,infernalis,60.25,-42.25,7604:102:1,0.07
Vampyroteuthis,infernalis,60.75,-41.75,7604:101:4,0.15
Vampyroteuthis,infernalis,60.75,-40.75,7604:100:4,0.19
Vampyroteuthis,infernalis,60.25,-40.75,7604:100:2,0.19
Vampyroteuthis,infernalis,60.25,-40.25,7604:100:1,0.15
Vampyroteuthis,infernalis,65.25,-35.25,7603:455:1,0.01
Vampyroteuthis,infernalis,66.25,-30.25,7603:360:1,0.02
Vampyroteuthis,infernalis,65.25,-34.75,7603:354:2,0.04
Vampyroteuthis,infernalis,65.25,-34.25,7603:354:1,0.14
Vampyroteuthis,infernalis,65.75,-32.75,7603:352:4,0.01
Vampyroteuthis,infernalis,65.75,-32.25,7603:352:3,0.04
Vampyroteuthis,infernalis,65.75,-31.75,7603:351:4,0.06
Vampyroteuthis,infernalis,65.75,-31.25,7603:351:3,0.05
Vampyroteuthis,infernalis,65.75,-30.75,7603:350:4,0.07
Vampyroteuthis,infernalis,65.75,-30.25,7603:350:3,0.10
Vampyroteuthis,infernalis,64.25,-38.25,7603:248:1,0.03
Vampyroteuthis,infernalis,64.75,-37.75,7603:247:4,0.05
Vampyroteuthis,infernalis,64.75,-37.25,7603:247:3,0.06
Vampyroteuthis,infernalis,64.25,-37.75,7603:247:2,0.06
Vampyroteuthis,infernalis,64.25,-37.25,7603:247:1,0.07
Vampyroteuthis,infernalis,64.75,-36.75,7603:246:4,0.09
Vampyroteuthis,infernalis,64.75,-36.25,7603:246:3,0.11
Vampyroteuthis,infernalis,64.25,-36.75,7603:246:2,0.08
Vampyroteuthis,infernalis,64.75,-35.75,7603:245:4,0.12
Vampyroteuthis,infernalis,63.75,-39.75,7603:239:4,0.08
Vampyroteuthis,infernalis,63.75,-39.25,7603:239:3,0.05
Vampyroteuthis,infernalis,63.75,-38.75,7603:238:4,0.05
Vampyroteuthis,infernalis,63.75,-38.25,7603:238:3,0.06
Vampyroteuthis,infernalis,63.75,-37.75,7603:237:4,0.17
Vampyroteuthis,infernalis,63.25,-35.75,7603:235:2,0.17
Vampyroteuthis,infernalis,63.25,-35.25,7603:235:1,0.13
Vampyroteuthis,infernalis,62.75,-38.75,7603:228:4,0.19
Vampyroteuthis,infernalis,62.75,-38.25,7603:228:3,0.18
Vampyroteuthis,infernalis,62.25,-38.25,7603:228:1,0.15
Vampyroteuthis,infernalis,62.75,-37.75,7603:227:4,0.18
Vampyroteuthis,infernalis,62.75,-37.25,7603:227:3,0.19
Vampyroteuthis,infernalis,62.25,-37.75,7603:227:2,0.13
Vampyroteuthis,infernalis,62.25,-37.25,7603:227:1,0.14
Vampyroteuthis,infernalis,62.75,-36.75,7603:226:4,0.16
Vampyroteuthis,infernalis,62.75,-36.25,7603:226:3,0.12
Vampyroteuthis,infernalis,62.25,-36.75,7603:226:2,0.13
Vampyroteuthis,infernalis,62.25,-36.25,7603:226:1,0.09
Vampyroteuthis,infernalis,62.75,-35.75,7603:225:4,0.10
Vampyroteuthis,infernalis,62.75,-35.25,7603:225:3,0.08
Vampyroteuthis,infernalis,62.25,-35.75,7603:225:2,0.06
Vampyroteuthis,infernalis,62.25,-35.25,7603:225:1,0.05
Vampyroteuthis,infernalis,61.25,-39.75,7603:219:2,0.15
Vampyroteuthis,infernalis,61.25,-39.25,7603:219:1,0.10
Vampyroteuthis,infernalis,61.75,-38.75,7603:218:4,0.18
Vampyroteuthis,infernalis,61.75,-38.25,7603:218:3,0.14
Vampyroteuthis,infernalis,61.25,-38.75,7603:218:2,0.10
Vampyroteuthis,infernalis,61.25,-38.25,7603:218:1,0.09
Vampyroteuthis,infernalis,61.75,-37.75,7603:217:4,0.10
Vampyroteuthis,infernalis,61.75,-37.25,7603:217:3,0.08
Vampyroteuthis,infernalis,61.25,-37.75,7603:217:2,0.08
Vampyroteuthis,infernalis,61.25,-37.25,7603:217:1,0.06
Vampyroteuthis,infernalis,61.75,-36.75,7603:216:4,0.08
Vampyroteuthis,infernalis,61.75,-36.25,7603:216:3,0.05
Vampyroteuthis,infernalis,61.25,-36.75,7603:216:2,0.04
Vampyroteuthis,infernalis,61.25,-36.25,7603:216:1,0.04
Vampyroteuthis,infernalis,61.75,-35.75,7603:215:4,0.04
Vampyroteuthis,infernalis,61.75,-35.25,7603:215:3,0.02
