Mapping parameters for Xiphopenaeus kroyeri (Atlantic seabob)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  31 |  41 |  77 |  87 ,
Bounding Box (NSWE): ,36,-32,-109,-34

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,7,27,70
Temperature (°C),1,18.22,22.59,28.29,32.49
Salinity (psu),1,18.75,29.01,36.76,37.26
Primary Production (mgC·m-3·day-1) ,1,0.13,2.72,38.92,93.95
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,3.03,185.77,221.92,259.29
Distance to Land (km),0,0,8,167,355
 

Map data (HSPEC) for predicted occurrences (n = 1592): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Xiphopenaeus,kroyeri,-3.75,-37.25,5003:237:3,0.02
Xiphopenaeus,kroyeri,-4.25,-36.75,5003:246:2,0.08
Xiphopenaeus,kroyeri,-8.25,-34.25,5003:384:1,0.01
Xiphopenaeus,kroyeri,-2.75,-43.25,5004:123:3,0.14
Xiphopenaeus,kroyeri,-0.25,-49.25,5004:209:1,0.02
Xiphopenaeus,kroyeri,-1.75,-48.25,5004:218:3,0.06
Xiphopenaeus,kroyeri,-1.25,-49.25,5004:219:1,0.02
Xiphopenaeus,kroyeri,-1.75,-49.25,5004:219:3,0.07
Xiphopenaeus,kroyeri,-2.25,-49.25,5004:229:1,0.02
Xiphopenaeus,kroyeri,-2.25,-79.75,5007:229:2,0.07
Xiphopenaeus,kroyeri,-6.75,-79.75,5007:469:4,0.10
Xiphopenaeus,kroyeri,-7.25,-79.75,5007:479:2,0.03
Xiphopenaeus,kroyeri,-7.75,-79.25,5007:479:3,0.09
Xiphopenaeus,kroyeri,-7.75,-79.75,5007:479:4,0.09
Xiphopenaeus,kroyeri,-8.25,-78.75,5007:488:2,0.10
Xiphopenaeus,kroyeri,-8.75,-78.75,5007:488:4,0.07
Xiphopenaeus,kroyeri,-8.25,-79.25,5007:489:1,0.03
Xiphopenaeus,kroyeri,-8.25,-79.75,5007:489:2,0.12
Xiphopenaeus,kroyeri,-8.75,-79.25,5007:489:3,0.04
Xiphopenaeus,kroyeri,-9.25,-78.25,5007:498:1,0.06
Xiphopenaeus,kroyeri,-9.25,-78.75,5007:498:2,0.06
Xiphopenaeus,kroyeri,-9.75,-78.25,5007:498:3,0.05
Xiphopenaeus,kroyeri,-9.75,-78.75,5007:498:4,0.12
Xiphopenaeus,kroyeri,-2.25,-80.25,5008:120:1,0.14
Xiphopenaeus,kroyeri,-3.75,-80.25,5008:130:3,0.04
Xiphopenaeus,kroyeri,-5.25,-80.75,5008:350:2,0.19
Xiphopenaeus,kroyeri,-5.75,-80.75,5008:350:4,0.09
Xiphopenaeus,kroyeri,-6.25,-80.25,5008:360:1,0.06
Xiphopenaeus,kroyeri,-6.75,-80.25,5008:360:3,0.01
Xiphopenaeus,kroyeri,-6.75,-80.75,5008:360:4,0.12
Xiphopenaeus,kroyeri,-6.25,-81.25,5008:361:1,0.08
Xiphopenaeus,kroyeri,-7.25,-80.25,5008:370:1,0.18
Xiphopenaeus,kroyeri,-13.25,-38.25,5103:238:1,0.17
Xiphopenaeus,kroyeri,-13.75,-39.25,5103:239:3,0.12
Xiphopenaeus,kroyeri,-14.25,-38.75,5103:248:2,0.19
Xiphopenaeus,kroyeri,-14.75,-38.75,5103:248:4,0.16
Xiphopenaeus,kroyeri,-15.25,-38.75,5103:458:2,0.19
Xiphopenaeus,kroyeri,-15.75,-38.25,5103:458:3,0.03
Xiphopenaeus,kroyeri,-15.25,-39.25,5103:459:1,0.16
Xiphopenaeus,kroyeri,-16.25,-38.25,5103:468:1,0.06
Xiphopenaeus,kroyeri,-17.75,-37.75,5103:477:4,0.02
Xiphopenaeus,kroyeri,-18.25,-37.75,5103:487:2,0.04
Xiphopenaeus,kroyeri,-18.25,-38.25,5103:488:1,0.19
Xiphopenaeus,kroyeri,-18.75,-38.25,5103:488:3,0.13
Xiphopenaeus,kroyeri,-18.75,-38.75,5103:488:4,0.18
Xiphopenaeus,kroyeri,-19.25,-38.25,5103:498:1,0.09
Xiphopenaeus,kroyeri,-19.25,-38.75,5103:498:2,0.12
Xiphopenaeus,kroyeri,-19.75,-38.25,5103:498:3,0.02
Xiphopenaeus,kroyeri,-19.75,-39.25,5103:499:3,0.12
Xiphopenaeus,kroyeri,-10.25,-77.75,5107:207:2,0.03
Xiphopenaeus,kroyeri,-10.75,-77.75,5107:207:4,0.02
Xiphopenaeus,kroyeri,-10.25,-78.25,5107:208:1,0.05
Xiphopenaeus,kroyeri,-10.75,-78.25,5107:208:3,0.02
Xiphopenaeus,kroyeri,-11.25,-77.25,5107:217:1,0.01
Xiphopenaeus,kroyeri,-11.25,-77.75,5107:217:2,0.01
Xiphopenaeus,kroyeri,-11.75,-77.75,5107:217:4,0.04
Xiphopenaeus,kroyeri,-15.75,-73.75,5107:353:4,0.01
Xiphopenaeus,kroyeri,-16.75,-72.75,5107:362:4,0.02
