Mapping parameters for Zalophus californianus (California sea lion)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas:  67 |  77 ,
Bounding Box (NSWE): ,90,22,-150,180

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,200,1000,6000
Temperature (°C),1,2.02,11.17,23.64,29.73
Salinity (psu),1,24.18,28.88,34.63,35.59
Primary Production (mgC·m-3·day-1) ,1,0.49,1.74,52.1,93.6
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0
Dissolved Bottom Oxygen (mmol·m-3),0,1.1,17.24,239.31,367.34
Distance to Land (km),1,0,6,271,583
 

Map data (HSPEC) for predicted occurrences (n = 1634): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Zalophus,californianus,22.25,-105.75,7210:225:2,0.11
Zalophus,californianus,22.75,-105.75,7210:225:4,0.05
Zalophus,californianus,23.25,-106.25,7210:236:1,0.17
Zalophus,californianus,23.75,-106.75,7210:236:4,0.08
Zalophus,californianus,24.25,-107.25,7210:247:1,0.10
Zalophus,californianus,24.75,-107.75,7210:247:4,0.03
Zalophus,californianus,25.25,-108.25,7210:458:1,0.09
Zalophus,californianus,26.25,-109.25,7210:469:1,0.19
Zalophus,californianus,26.75,-109.25,7210:469:3,0.08
Zalophus,californianus,22.25,-110.25,7211:120:1,0.18
Zalophus,californianus,22.25,-110.75,7211:120:2,0.13
Zalophus,californianus,22.25,-111.25,7211:121:1,0.08
Zalophus,californianus,22.25,-111.75,7211:121:2,0.06
Zalophus,californianus,22.75,-111.25,7211:121:3,0.15
Zalophus,californianus,22.75,-111.75,7211:121:4,0.10
Zalophus,californianus,22.25,-112.25,7211:122:1,0.03
Zalophus,californianus,22.75,-112.25,7211:122:3,0.06
Zalophus,californianus,22.75,-112.75,7211:122:4,0.02
Zalophus,californianus,23.75,-110.25,7211:130:3,0.19
Zalophus,californianus,23.25,-112.25,7211:132:1,0.11
Zalophus,californianus,23.25,-112.75,7211:132:2,0.06
Zalophus,californianus,23.75,-112.75,7211:132:4,0.18
Zalophus,californianus,23.25,-113.25,7211:133:1,0.06
Zalophus,californianus,23.25,-113.75,7211:133:2,0.04
Zalophus,californianus,23.75,-113.25,7211:133:3,0.15
Zalophus,californianus,23.75,-113.75,7211:133:4,0.13
Zalophus,californianus,23.25,-114.25,7211:134:1,0.03
Zalophus,californianus,23.75,-114.25,7211:134:3,0.11
Zalophus,californianus,23.75,-114.75,7211:134:4,0.06
Zalophus,californianus,24.25,-114.75,7211:144:2,0.16
Zalophus,californianus,23.75,-115.25,7211:235:3,0.02
Zalophus,californianus,23.75,-115.75,7211:235:4,0.01
Zalophus,californianus,24.25,-115.25,7211:245:1,0.10
Zalophus,californianus,24.25,-115.75,7211:245:2,0.06
Zalophus,californianus,24.25,-116.25,7211:246:1,0.03
Zalophus,californianus,24.25,-116.75,7211:246:2,0.01
Zalophus,californianus,24.75,-116.25,7211:246:3,0.10
Zalophus,californianus,24.75,-116.75,7211:246:4,0.06
Zalophus,californianus,24.75,-117.25,7211:247:3,0.04
Zalophus,californianus,24.75,-117.75,7211:247:4,0.01
Zalophus,californianus,25.75,-111.25,7211:351:3,0.06
Zalophus,californianus,26.25,-112.25,7211:362:1,0.02
Zalophus,californianus,27.75,-114.25,7211:374:3,0.02
Zalophus,californianus,28.75,-111.75,7211:381:4,0.04
Zalophus,californianus,29.25,-112.25,7211:392:1,0.07
Zalophus,californianus,29.75,-112.25,7211:392:3,0.03
Zalophus,californianus,29.75,-112.75,7211:392:4,0.15
Zalophus,californianus,29.75,-113.25,7211:393:3,0.12
Zalophus,californianus,29.75,-113.75,7211:393:4,0.02
Zalophus,californianus,25.25,-117.25,7211:457:1,0.11
Zalophus,californianus,25.25,-117.75,7211:457:2,0.05
Zalophus,californianus,25.75,-117.75,7211:457:4,0.12
Zalophus,californianus,25.25,-118.25,7211:458:1,0.02
Zalophus,californianus,25.75,-118.25,7211:458:3,0.07
Zalophus,californianus,25.75,-118.75,7211:458:4,0.03
Zalophus,californianus,26.25,-118.25,7211:468:1,0.15
Zalophus,californianus,26.25,-118.75,7211:468:2,0.08
Zalophus,californianus,26.25,-119.25,7211:469:1,0.02
Zalophus,californianus,26.75,-119.25,7211:469:3,0.10
Zalophus,californianus,26.75,-119.75,7211:469:4,0.04
Zalophus,californianus,27.25,-119.75,7211:479:2,0.13
Zalophus,californianus,29.75,-115.25,7211:495:3,0.02
Zalophus,californianus,27.25,-120.25,7212:370:1,0.04
Zalophus,californianus,27.75,-120.25,7212:370:3,0.16
Zalophus,californianus,27.75,-120.75,7212:370:4,0.08
Zalophus,californianus,27.75,-121.25,7212:371:3,0.02
Zalophus,californianus,28.25,-120.75,7212:380:2,0.15
Zalophus,californianus,28.25,-121.25,7212:381:1,0.06
Zalophus,californianus,28.25,-121.75,7212:381:2,0.02
Zalophus,californianus,28.75,-121.25,7212:381:3,0.10
Zalophus,californianus,28.75,-121.75,7212:381:4,0.03
Zalophus,californianus,29.25,-121.25,7212:391:1,0.18
Zalophus,californianus,29.25,-121.75,7212:391:2,0.10
Zalophus,californianus,29.75,-121.75,7212:391:4,0.18
Zalophus,californianus,29.25,-122.25,7212:392:1,0.04
Zalophus,californianus,29.25,-122.75,7212:392:2,0.02
Zalophus,californianus,29.75,-122.25,7212:392:3,0.11
Zalophus,californianus,29.75,-122.75,7212:392:4,0.05
Zalophus,californianus,29.75,-123.25,7212:393:3,0.01
Zalophus,californianus,30.25,-112.75,7311:102:2,0.08
Zalophus,californianus,30.25,-113.25,7311:103:1,0.07
Zalophus,californianus,30.25,-113.75,7311:103:2,0.04
Zalophus,californianus,30.75,-113.25,7311:103:3,0.02
Zalophus,californianus,30.75,-113.75,7311:103:4,0.02
Zalophus,californianus,30.25,-114.25,7311:104:1,0.01
Zalophus,californianus,30.25,-114.75,7311:104:2,0.06
Zalophus,californianus,30.75,-114.25,7311:104:3,0.01
Zalophus,californianus,31.25,-113.75,7311:113:2,0.01
Zalophus,californianus,31.75,-113.75,7311:113:4,0.03
Zalophus,californianus,31.25,-114.25,7311:114:1,0.03
Zalophus,californianus,31.25,-114.75,7311:114:2,0.04
Zalophus,californianus,31.75,-114.25,7311:114:3,0.01
Zalophus,californianus,31.75,-114.75,7311:114:4,0.01
Zalophus,californianus,30.25,-122.25,7312:102:1,0.16
Zalophus,californianus,30.25,-122.75,7312:102:2,0.11
Zalophus,californianus,30.75,-122.25,7312:102:3,0.19
Zalophus,californianus,30.75,-122.75,7312:102:4,0.16
Zalophus,californianus,30.25,-123.25,7312:103:1,0.05
Zalophus,californianus,30.25,-123.75,7312:103:2,0.02
Zalophus,californianus,30.75,-123.25,7312:103:3,0.14
Zalophus,californianus,30.75,-123.75,7312:103:4,0.08
Zalophus,californianus,30.75,-124.25,7312:104:3,0.03
Zalophus,californianus,31.25,-123.25,7312:113:1,0.17
Zalophus,californianus,31.25,-123.75,7312:113:2,0.13
Zalophus,californianus,31.75,-123.75,7312:113:4,0.17
Zalophus,californianus,31.25,-124.25,7312:114:1,0.08
Zalophus,californianus,31.25,-124.75,7312:114:2,0.04
Zalophus,californianus,31.75,-124.25,7312:114:3,0.12
Zalophus,californianus,31.75,-124.75,7312:114:4,0.07
Zalophus,californianus,32.25,-123.75,7312:123:2,0.19
Zalophus,californianus,32.25,-124.25,7312:124:1,0.14
Zalophus,californianus,32.25,-124.75,7312:124:2,0.09
Zalophus,californianus,32.75,-124.25,7312:124:3,0.15
Zalophus,californianus,32.75,-124.75,7312:124:4,0.11
Zalophus,californianus,33.25,-124.25,7312:134:1,0.19
Zalophus,californianus,33.25,-124.75,7312:134:2,0.14
Zalophus,californianus,33.75,-124.75,7312:134:4,0.17
Zalophus,californianus,34.25,-124.75,7312:144:2,0.19
Zalophus,californianus,31.75,-125.25,7312:215:3,0.02
Zalophus,californianus,32.25,-125.25,7312:225:1,0.04
Zalophus,californianus,32.75,-125.25,7312:225:3,0.07
Zalophus,californianus,32.75,-125.75,7312:225:4,0.04
Zalophus,californianus,33.25,-125.25,7312:235:1,0.10
Zalophus,californianus,33.25,-125.75,7312:235:2,0.07
Zalophus,californianus,33.75,-125.25,7312:235:3,0.13
Zalophus,californianus,33.75,-125.75,7312:235:4,0.09
Zalophus,californianus,33.25,-126.25,7312:236:1,0.03
Zalophus,californianus,33.75,-126.25,7312:236:3,0.06
Zalophus,californianus,33.75,-126.75,7312:236:4,0.01
Zalophus,californianus,34.25,-125.25,7312:245:1,0.14
Zalophus,californianus,34.25,-125.75,7312:245:2,0.10
Zalophus,californianus,34.75,-125.25,7312:245:3,0.17
Zalophus,californianus,34.75,-125.75,7312:245:4,0.13
Zalophus,californianus,34.25,-126.25,7312:246:1,0.07
Zalophus,californianus,34.25,-126.75,7312:246:2,0.04
Zalophus,californianus,34.75,-126.25,7312:246:3,0.09
Zalophus,californianus,34.75,-126.75,7312:246:4,0.06
Zalophus,californianus,34.25,-127.25,7312:247:1,0.01
Zalophus,californianus,34.75,-127.25,7312:247:3,0.03
Zalophus,californianus,37.25,-122.25,7312:372:1,0.10
Zalophus,californianus,37.75,-122.75,7312:372:4,0.03
Zalophus,californianus,38.25,-122.25,7312:382:1,0.01
Zalophus,californianus,38.25,-122.75,7312:382:2,0.01
Zalophus,californianus,35.25,-125.75,7312:455:2,0.16
Zalophus,californianus,35.75,-125.75,7312:455:4,0.18
Zalophus,californianus,35.25,-126.25,7312:456:1,0.12
Zalophus,californianus,35.25,-126.75,7312:456:2,0.09
Zalophus,californianus,35.75,-126.25,7312:456:3,0.14
Zalophus,californianus,35.75,-126.75,7312:456:4,0.11
Zalophus,californianus,35.25,-127.25,7312:457:1,0.05
Zalophus,californianus,35.25,-127.75,7312:457:2,0.02
Zalophus,californianus,35.75,-127.25,7312:457:3,0.07
Zalophus,californianus,35.75,-127.75,7312:457:4,0.04
Zalophus,californianus,35.75,-128.25,7312:458:3,0.01
Zalophus,californianus,36.25,-126.25,7312:466:1,0.17
Zalophus,californianus,36.25,-126.75,7312:466:2,0.13
Zalophus,californianus,36.75,-126.75,7312:466:4,0.17
Zalophus,californianus,36.25,-127.25,7312:467:1,0.10
Zalophus,californianus,36.25,-127.75,7312:467:2,0.07
Zalophus,californianus,36.75,-127.25,7312:467:3,0.13
Zalophus,californianus,36.75,-127.75,7312:467:4,0.10
Zalophus,californianus,36.25,-128.25,7312:468:1,0.04
Zalophus,californianus,36.25,-128.75,7312:468:2,0.01
