Mapping parameters for Zoarces elongatus ()

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO
FAOAreas: 61,
Bounding Box (NSWE): ,,,,

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,3.63,4.13,19.32,28.31
Salinity (psu),1,25.06,25.56,32.85,35.34
Primary Production (mgC·m-3·day-1) ,1,5.24,8.88,39.39,45.31
Sea Ice Concentration (0-1 fraction),1,-0.94,0,0.28,0.31
Dissolved Bottom Oxygen (mmol·m-3),0,30.75,199.68,347.72,353.35
Distance to Land (km),0,1,2,25,117
 

Map data (HSPEC) for predicted occurrences (n = 983): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Zoarces,elongatus,15.25,108.75,1110:458:2,0.13
Zoarces,elongatus,15.75,108.25,1110:458:3,0.13
Zoarces,elongatus,15.75,108.75,1110:458:4,0.13
Zoarces,elongatus,15.25,109.25,1110:459:1,0.02
Zoarces,elongatus,16.25,107.75,1110:467:2,0.10
Zoarces,elongatus,16.75,107.25,1110:467:3,0.08
Zoarces,elongatus,16.75,107.75,1110:467:4,0.02
Zoarces,elongatus,16.25,108.25,1110:468:1,0.16
Zoarces,elongatus,16.25,108.75,1110:468:2,0.02
Zoarces,elongatus,16.75,108.25,1110:468:3,0.01
Zoarces,elongatus,17.25,106.75,1110:476:2,0.17
Zoarces,elongatus,17.75,106.75,1110:476:4,0.09
Zoarces,elongatus,17.25,107.25,1110:477:1,0.06
Zoarces,elongatus,17.75,109.25,1110:479:3,0.01
Zoarces,elongatus,18.25,105.75,1110:485:2,0.09
Zoarces,elongatus,18.25,106.75,1110:486:2,0.17
Zoarces,elongatus,18.25,108.75,1110:488:2,0.09
Zoarces,elongatus,18.75,108.25,1110:488:3,0.03
Zoarces,elongatus,18.75,108.75,1110:488:4,0.12
Zoarces,elongatus,18.25,109.25,1110:489:1,0.12
Zoarces,elongatus,18.25,109.75,1110:489:2,0.11
Zoarces,elongatus,19.75,106.25,1110:496:3,0.13
Zoarces,elongatus,19.25,108.75,1110:498:2,0.13
Zoarces,elongatus,19.75,108.75,1110:498:4,0.09
Zoarces,elongatus,19.75,109.25,1110:499:3,0.09
Zoarces,elongatus,19.75,109.75,1110:499:4,0.14
Zoarces,elongatus,18.25,110.25,1111:380:1,0.07
Zoarces,elongatus,18.75,110.25,1111:380:3,0.14
Zoarces,elongatus,18.75,110.75,1111:380:4,0.11
Zoarces,elongatus,19.75,110.25,1111:390:3,0.05
Zoarces,elongatus,19.25,111.25,1111:391:1,0.01
Zoarces,elongatus,19.75,111.25,1111:391:3,0.19
Zoarces,elongatus,20.25,109.75,1210:209:2,0.15
Zoarces,elongatus,21.25,106.75,1210:216:2,0.07
Zoarces,elongatus,21.25,107.25,1210:217:1,0.13
Zoarces,elongatus,21.75,108.25,1210:218:3,0.15
Zoarces,elongatus,21.25,109.25,1210:219:1,0.04
Zoarces,elongatus,20.25,111.75,1211:101:2,0.03
Zoarces,elongatus,20.75,112.25,1211:102:3,0.06
Zoarces,elongatus,21.25,113.75,1211:113:2,0.06
Zoarces,elongatus,21.25,114.25,1211:114:1,0.03
Zoarces,elongatus,21.75,114.75,1211:114:4,0.01
Zoarces,elongatus,22.25,116.75,1211:226:2,0.12
Zoarces,elongatus,22.25,117.75,1211:227:2,0.18
Zoarces,elongatus,22.25,118.25,1211:228:1,0.14
Zoarces,elongatus,22.25,118.75,1211:228:2,0.06
Zoarces,elongatus,22.75,119.25,1211:229:3,0.16
Zoarces,elongatus,23.25,119.75,1211:239:2,0.17
Zoarces,elongatus,22.25,120.75,1212:120:2,0.04
Zoarces,elongatus,22.75,120.25,1212:120:3,0.12
Zoarces,elongatus,22.75,120.75,1212:120:4,0.11
Zoarces,elongatus,22.75,121.25,1212:121:3,0.09
Zoarces,elongatus,22.75,121.75,1212:121:4,0.01
Zoarces,elongatus,23.25,120.25,1212:130:1,0.16
Zoarces,elongatus,23.25,121.25,1212:131:1,0.11
Zoarces,elongatus,23.75,121.75,1212:131:4,0.09
Zoarces,elongatus,24.25,121.75,1212:141:2,0.11
Zoarces,elongatus,24.75,121.75,1212:141:4,0.19
Zoarces,elongatus,24.25,122.75,1212:142:2,0.01
Zoarces,elongatus,24.75,123.25,1212:143:3,0.01
Zoarces,elongatus,24.75,124.25,1212:144:3,0.02
Zoarces,elongatus,24.75,124.75,1212:144:4,0.01
Zoarces,elongatus,24.75,125.25,1212:245:3,0.02
Zoarces,elongatus,25.25,122.25,1212:352:1,0.17
Zoarces,elongatus,25.75,123.75,1212:353:4,0.06
Zoarces,elongatus,25.75,124.75,1212:354:4,0.06
Zoarces,elongatus,26.75,122.25,1212:362:3,0.14
Zoarces,elongatus,28.25,120.75,1212:380:2,0.18
Zoarces,elongatus,29.25,123.25,1212:393:1,0.11
Zoarces,elongatus,25.25,125.25,1212:455:1,0.05
Zoarces,elongatus,25.25,125.75,1212:455:2,0.03
Zoarces,elongatus,26.25,126.75,1212:466:2,0.04
Zoarces,elongatus,26.75,126.75,1212:466:4,0.06
