Mapping parameters for Zygochlamys patagonica (Patagonean scallop)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 18 |  21 |  27 |  31 |  34 |  37 |  41 |  47 |  48 |  51 |  57 |  58 |  61 |  67 |  71 |  77 |  81 |  87 |  88,
Bounding Box (NSWE): ,-26,-65,-110,-53

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,70,120,270
Temperature (°C),1,-1.1,6.69,16.12,22.79
Salinity (psu),1,6.5,31.47,34.37,36.17
Primary Production (mgC·m-3·day-1) ,1,0.1,4.92,38.8,84.7
Sea Ice Concentration (0-1 fraction),1,-1,0,0,0.18
Dissolved Bottom Oxygen (mmol·m-3),0,51.05,203.2,304.8,354.17
Distance to Land (km),0,0,6,259,462
 

Map data (HSPEC) for predicted occurrences (n = 961): 

"To get individual probabilities (i.e. Depth, Temperature, Salinity, Primary Production, Sea Ice Concentration, Distance to Land):"
1. Click on the Create-Your-Own-Map at the bottom left part of the species map page.
2. Click on the Regenerate Map Data and View Map button then click OK.
3. In the resulting User-Specified Map for the species click on the Download data (as csv) link.
4. Select HSPEC then Submit.

Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability
Zygochlamys,patagonica,-34.75,-56.25,5305:246:3,0.06
Zygochlamys,patagonica,-35.25,-55.75,5305:455:2,0.17
Zygochlamys,patagonica,-35.25,-56.25,5305:456:1,0.09
Zygochlamys,patagonica,-35.25,-56.75,5305:456:2,0.03
Zygochlamys,patagonica,-35.75,-56.25,5305:456:3,0.19
Zygochlamys,patagonica,-35.75,-56.75,5305:456:4,0.09
Zygochlamys,patagonica,-35.25,-57.25,5305:457:1,0.02
Zygochlamys,patagonica,-37.25,-57.25,5305:477:1,0.19
Zygochlamys,patagonica,-39.75,-61.25,5306:391:3,0.09
Zygochlamys,patagonica,-39.75,-61.75,5306:391:4,0.17
Zygochlamys,patagonica,-31.75,-71.25,5307:111:3,0.10
Zygochlamys,patagonica,-40.25,-61.25,5406:101:1,0.10
Zygochlamys,patagonica,-40.25,-61.75,5406:101:2,0.10
Zygochlamys,patagonica,-40.75,-61.25,5406:101:3,0.15
Zygochlamys,patagonica,-40.75,-61.75,5406:101:4,0.11
Zygochlamys,patagonica,-40.75,-64.25,5406:104:3,0.12
Zygochlamys,patagonica,-41.25,-61.75,5406:111:2,0.14
Zygochlamys,patagonica,-41.25,-62.25,5406:112:1,0.07
Zygochlamys,patagonica,-41.25,-62.75,5406:112:2,0.04
Zygochlamys,patagonica,-41.75,-62.25,5406:112:3,0.14
Zygochlamys,patagonica,-41.75,-62.75,5406:112:4,0.09
Zygochlamys,patagonica,-41.25,-63.25,5406:113:1,0.02
Zygochlamys,patagonica,-41.25,-63.75,5406:113:2,0.01
Zygochlamys,patagonica,-41.75,-63.25,5406:113:3,0.05
Zygochlamys,patagonica,-41.75,-63.75,5406:113:4,0.03
Zygochlamys,patagonica,-42.25,-63.75,5406:123:2,0.10
Zygochlamys,patagonica,-42.25,-64.25,5406:124:1,0.02
Zygochlamys,patagonica,-42.75,-64.75,5406:124:4,0.17
Zygochlamys,patagonica,-41.75,-65.25,5406:215:3,0.10
Zygochlamys,patagonica,-42.25,-65.25,5406:225:1,0.13
Zygochlamys,patagonica,-44.75,-66.25,5406:246:3,0.13
Zygochlamys,patagonica,-47.25,-66.75,5406:476:2,0.16
Zygochlamys,patagonica,-41.25,-73.25,5407:113:1,0.01
Zygochlamys,patagonica,-50.25,-57.25,5505:207:1,0.08
Zygochlamys,patagonica,-52.75,-63.25,5506:123:3,0.13
Zygochlamys,patagonica,-53.75,-62.25,5506:132:3,0.06
Zygochlamys,patagonica,-50.25,-69.25,5506:209:1,0.04
Zygochlamys,patagonica,-51.75,-69.25,5506:219:3,0.04
Zygochlamys,patagonica,-53.75,-69.25,5506:239:3,0.12
Zygochlamys,patagonica,-50.75,-74.25,5507:104:3,0.01
Zygochlamys,patagonica,-52.25,-74.25,5507:124:1,0.09
Zygochlamys,patagonica,-60.75,-53.25,5605:103:3,0.01
Zygochlamys,patagonica,-60.75,-54.75,5605:104:4,0.05
Zygochlamys,patagonica,-61.25,-53.75,5605:113:2,0.01
Zygochlamys,patagonica,-61.25,-54.25,5605:114:1,0.02
Zygochlamys,patagonica,-61.25,-54.75,5605:114:2,0.03
Zygochlamys,patagonica,-60.75,-55.25,5605:205:3,0.08
Zygochlamys,patagonica,-60.75,-55.75,5605:205:4,0.08
Zygochlamys,patagonica,-61.25,-55.25,5605:215:1,0.04
Zygochlamys,patagonica,-61.25,-55.75,5605:215:2,0.05
Zygochlamys,patagonica,-61.75,-55.75,5605:215:4,0.01
Zygochlamys,patagonica,-61.25,-56.25,5605:216:1,0.04
Zygochlamys,patagonica,-61.75,-57.25,5605:217:3,0.04
Zygochlamys,patagonica,-61.75,-57.75,5605:217:4,0.05
Zygochlamys,patagonica,-61.75,-58.25,5605:218:3,0.06
Zygochlamys,patagonica,-61.75,-58.75,5605:218:4,0.06
Zygochlamys,patagonica,-61.75,-59.25,5605:219:3,0.06
Zygochlamys,patagonica,-61.75,-59.75,5605:219:4,0.07
Zygochlamys,patagonica,-62.25,-57.25,5605:227:1,0.02
Zygochlamys,patagonica,-62.25,-57.75,5605:227:2,0.03
Zygochlamys,patagonica,-62.25,-58.25,5605:228:1,0.03
Zygochlamys,patagonica,-62.25,-58.75,5605:228:2,0.03
Zygochlamys,patagonica,-62.25,-59.25,5605:229:1,0.03
Zygochlamys,patagonica,-62.25,-59.75,5605:229:2,0.05
Zygochlamys,patagonica,-62.75,-59.25,5605:229:3,0.02
Zygochlamys,patagonica,-62.75,-59.75,5605:229:4,0.03
Zygochlamys,patagonica,-63.25,-59.75,5605:239:2,0.01
Zygochlamys,patagonica,-62.25,-60.25,5606:120:1,0.05
Zygochlamys,patagonica,-62.25,-60.75,5606:120:2,0.06
Zygochlamys,patagonica,-62.75,-60.25,5606:120:3,0.04
Zygochlamys,patagonica,-62.75,-60.75,5606:120:4,0.05
Zygochlamys,patagonica,-62.25,-61.25,5606:121:1,0.06
Zygochlamys,patagonica,-62.25,-61.75,5606:121:2,0.05
Zygochlamys,patagonica,-62.75,-61.25,5606:121:3,0.04
Zygochlamys,patagonica,-62.75,-61.75,5606:121:4,0.05
Zygochlamys,patagonica,-62.75,-62.25,5606:122:3,0.05
Zygochlamys,patagonica,-62.75,-62.75,5606:122:4,0.05
Zygochlamys,patagonica,-63.25,-60.25,5606:130:1,0.01
Zygochlamys,patagonica,-63.25,-60.75,5606:130:2,0.03
Zygochlamys,patagonica,-63.25,-61.75,5606:131:2,0.05
Zygochlamys,patagonica,-63.75,-61.25,5606:131:3,0.01
Zygochlamys,patagonica,-63.75,-61.75,5606:131:4,0.03
Zygochlamys,patagonica,-63.25,-62.25,5606:132:1,0.04
Zygochlamys,patagonica,-63.25,-62.75,5606:132:2,0.04
Zygochlamys,patagonica,-63.75,-62.25,5606:132:3,0.04
Zygochlamys,patagonica,-63.75,-62.75,5606:132:4,0.04
Zygochlamys,patagonica,-63.25,-63.25,5606:133:1,0.04
Zygochlamys,patagonica,-63.25,-63.75,5606:133:2,0.04
Zygochlamys,patagonica,-63.75,-63.25,5606:133:3,0.04
Zygochlamys,patagonica,-63.75,-63.75,5606:133:4,0.03
Zygochlamys,patagonica,-63.25,-64.25,5606:134:1,0.03
Zygochlamys,patagonica,-63.75,-64.25,5606:134:3,0.01
Zygochlamys,patagonica,-64.25,-61.25,5606:141:1,0.01
Zygochlamys,patagonica,-64.25,-61.75,5606:141:2,0.03
Zygochlamys,patagonica,-64.25,-62.25,5606:142:1,0.03
Zygochlamys,patagonica,-64.25,-62.75,5606:142:2,0.02
Zygochlamys,patagonica,-64.75,-62.25,5606:142:3,0.02
Zygochlamys,patagonica,-64.75,-62.75,5606:142:4,0.02
Zygochlamys,patagonica,-64.25,-64.75,5606:144:2,0.01
Zygochlamys,patagonica,-64.25,-63.25,5606:143:1,0.02
Zygochlamys,patagonica,-64.25,-64.25,5606:144:1,0.01
Zygochlamys,patagonica,-26.25,-80.25,5208:360:1,0.38
